username,repo_name,stars,repo_url
dotnet,aspnetcore,27100,https://github.com/dotnet/aspnetcore
SeleniumHQ,selenium,22700,https://github.com/SeleniumHQ/selenium
files-community,Files,19200,https://github.com/files-community/Files
dotnet,corefx,17900,https://github.com/dotnet/corefx
dotnet,core,16900,https://github.com/dotnet/core
microsoft,react-native-windows,14400,https://github.com/microsoft/react-native-windows
icsharpcode,ILSpy,14300,https://github.com/icsharpcode/ILSpy
quozd,awesome-dotnet,14200,https://github.com/quozd/awesome-dotnet
dotnet,maui,13500,https://github.com/dotnet/maui
jellyfin,jellyfin,13200,https://github.com/jellyfin/jellyfin
AvaloniaUI,Avalonia,12900,https://github.com/AvaloniaUI/Avalonia
dotnet,coreclr,12600,https://github.com/dotnet/coreclr
pulumi,pulumi,11200,https://github.com/pulumi/pulumi
Ryujinx,Ryujinx,11100,https://github.com/Ryujinx/Ryujinx
docker,labs,10500,https://github.com/docker/labs
OpenRA,OpenRA,10400,https://github.com/OpenRA/OpenRA
aspnetboilerplate,aspnetboilerplate,10100,https://github.com/aspnetboilerplate/aspnetboilerplate
App-vNext,Polly,10100,https://github.com/App-vNext/Polly
mono,mono,9700,https://github.com/mono/mono
MoienTajik,AspNetCore-Developer-Roadmap,9500,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
ardalis,CleanArchitecture,9300,https://github.com/ardalis/CleanArchitecture
bitwarden,server,9100,https://github.com/bitwarden/server
IdentityServer,IdentityServer4,8500,https://github.com/IdentityServer/IdentityServer4
MonoGame,MonoGame,8100,https://github.com/MonoGame/MonoGame
dotnet,machinelearning,7800,https://github.com/dotnet/machinelearning
jasontaylordev,CleanArchitecture,7600,https://github.com/jasontaylordev/CleanArchitecture
JustArchiNET,ArchiSteamFarm,7500,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,BenchmarkDotNet,7300,https://github.com/dotnet/BenchmarkDotNet
HangfireIO,Hangfire,7200,https://github.com/HangfireIO/Hangfire
NancyFx,Nancy,7200,https://github.com/NancyFx/Nancy
