username,repo_name,stars,repo_url
amphp,amp,3500,https://github.com/amphp/amp
danog,MadelineProto,1800,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,688,https://github.com/unreal4u/telegram-api
amphp,http-client,595,https://github.com/amphp/http-client
amphp,parallel,559,https://github.com/amphp/parallel
php-service-bus,service-bus,313,https://github.com/php-service-bus/service-bus
amphp,byte-stream,268,https://github.com/amphp/byte-stream
amphp,mysql,262,https://github.com/amphp/mysql
amphp,parallel-functions,209,https://github.com/amphp/parallel-functions
amphp,process,156,https://github.com/amphp/process
amphp,socket,147,https://github.com/amphp/socket
amphp,redis,121,https://github.com/amphp/redis
amphp,dns,108,https://github.com/amphp/dns
kelunik,acme,106,https://github.com/kelunik/acme
amphp,websocket-client,97,https://github.com/amphp/websocket-client
amphp,sync,95,https://github.com/amphp/sync
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,73,https://github.com/amphp/websocket-server
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,file,65,https://github.com/amphp/file
amphp,cache,63,https://github.com/amphp/cache
amphp,postgres,62,https://github.com/amphp/postgres
amphp,serialization,61,https://github.com/amphp/serialization
amphp,windows-registry,59,https://github.com/amphp/windows-registry
amphp,hpack,58,https://github.com/amphp/hpack
amphp,beanstalk,56,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,40,https://github.com/amphp/cluster
