username,repo_name,stars,repo_url
microsoft,calculator,23500,https://github.com/microsoft/calculator
files-community,Files,19200,https://github.com/files-community/Files
ShareX,ShareX,18500,https://github.com/ShareX/ShareX
dotnet,corefx,17900,https://github.com/dotnet/corefx
mxgmn,WaveFunctionCollapse,17300,https://github.com/mxgmn/WaveFunctionCollapse
thangchung,awesome-dotnet-core,15700,https://github.com/thangchung/awesome-dotnet-core
dotnet,roslyn,15400,https://github.com/dotnet/roslyn
quozd,awesome-dotnet,14200,https://github.com/quozd/awesome-dotnet
jellyfin,jellyfin,13200,https://github.com/jellyfin/jellyfin
AvaloniaUI,Avalonia,12900,https://github.com/AvaloniaUI/Avalonia
doocs,leetcode,11800,https://github.com/doocs/leetcode
antlr,antlr4,11500,https://github.com/antlr/antlr4
pulumi,pulumi,11200,https://github.com/pulumi/pulumi
Ryujinx,Ryujinx,11100,https://github.com/Ryujinx/Ryujinx
OpenRA,OpenRA,10400,https://github.com/OpenRA/OpenRA
aspnetboilerplate,aspnetboilerplate,10100,https://github.com/aspnetboilerplate/aspnetboilerplate
mono,mono,9700,https://github.com/mono/mono
bitwarden,server,9100,https://github.com/bitwarden/server
apache,thrift,8900,https://github.com/apache/thrift
dotnet,csharplang,8300,https://github.com/dotnet/csharplang
dotansimha,graphql-code-generator,8200,https://github.com/dotansimha/graphql-code-generator
MonoGame,MonoGame,8100,https://github.com/MonoGame/MonoGame
quicktype,quicktype,7600,https://github.com/quicktype/quicktype
carlospolop,PEASS-ng,7600,https://github.com/carlospolop/PEASS-ng
JustArchiNET,ArchiSteamFarm,7500,https://github.com/JustArchiNET/ArchiSteamFarm
abpframework,abp,7400,https://github.com/abpframework/abp
Tencent,xLua,7300,https://github.com/Tencent/xLua
dotnet,BenchmarkDotNet,7300,https://github.com/dotnet/BenchmarkDotNet
microsoft,ailab,6900,https://github.com/microsoft/ailab
reactiveui,ReactiveUI,6800,https://github.com/reactiveui/ReactiveUI
