username,repo_name,stars,repo_url
twbs,bootstrap,155000,https://github.com/twbs/bootstrap
electron,electron,100000,https://github.com/electron/electron
animate-css,animate.css,73500,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,67300,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,57900,https://github.com/thedaviddias/Front-End-Checklist
tailwindlabs,tailwindcss,53000,https://github.com/tailwindlabs/tailwindcss
h5bp,html5-boilerplate,52200,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,46500,https://github.com/necolas/normalize.css
jgthms,bulma,45000,https://github.com/jgthms/bulma
prettier,prettier,41700,https://github.com/prettier/prettier
juliangarnier,anime,41400,https://github.com/juliangarnier/anime
microsoft,Web-Dev-For-Beginners,40200,https://github.com/microsoft/Web-Dev-For-Beginners
parcel-bundler,parcel,40100,https://github.com/parcel-bundler/parcel
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
vercel,hyper,37800,https://github.com/vercel/hyper
styled-components,styled-components,35800,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,32600,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,30200,https://github.com/evanw/esbuild
postcss,postcss,25800,https://github.com/postcss/postcss
IanLunn,Hover,25800,https://github.com/IanLunn/Hover
sentsin,layui,25700,https://github.com/sentsin/layui
Advanced-Frontend,Daily-Interview-Question,24900,https://github.com/Advanced-Frontend/Daily-Interview-Question
tabler,tabler,24900,https://github.com/tabler/tabler
iview,iview,23900,https://github.com/iview/iview
pure-css,pure,22200,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,21900,https://github.com/mdbootstrap/mdb-ui-kit
AllThingsSmitty,css-protips,20500,https://github.com/AllThingsSmitty/css-protips
jlmakes,scrollreveal,20400,https://github.com/jlmakes/scrollreveal
postcss,autoprefixer,20100,https://github.com/postcss/autoprefixer
haizlin,fe-interview,19900,https://github.com/haizlin/fe-interview
