username,repo_name,stars,repo_url
crystal-lang,crystal,17200,https://github.com/crystal-lang/crystal
kemalcr,kemal,3200,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,2900,https://github.com/veelenga/awesome-crystal
amberframework,amber,2400,https://github.com/amberframework/amber
luckyframework,lucky,2200,https://github.com/luckyframework/lucky
ffwff,lilith,1100,https://github.com/ffwff/lilith
hkalexling,Mango,969,https://github.com/hkalexling/Mango
drujensen,fib,758,https://github.com/drujensen/fib
amethyst-framework,amethyst,647,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,515,https://github.com/askn/crystal-by-example
crystal-community,icr,480,https://github.com/crystal-community/icr
will,crystal-pg,410,https://github.com/will/crystal-pg
crystal-ameba,ameba,394,https://github.com/crystal-ameba/ameba
stefanwille,crystal-redis,361,https://github.com/stefanwille/crystal-redis
vim-crystal,vim-crystal,357,https://github.com/vim-crystal/vim-crystal
imdrasil,jennifer.cr,349,https://github.com/imdrasil/jennifer.cr
Crecto,crecto,337,https://github.com/Crecto/crecto
crystal-lang,crystal-book,328,https://github.com/crystal-lang/crystal-book
crystal-lang-tools,scry,315,https://github.com/crystal-lang-tools/scry
cooperhammond,irs,307,https://github.com/cooperhammond/irs
oprypin,crsfml,301,https://github.com/oprypin/crsfml
Hentioe,policr,295,https://github.com/Hentioe/policr
iGenius-Srl,IGColorPicker,262,https://github.com/iGenius-Srl/IGColorPicker
samueleaton,sentry,255,https://github.com/samueleaton/sentry
crystal-community,crystal-patterns,255,https://github.com/crystal-community/crystal-patterns
amberframework,granite,255,https://github.com/amberframework/granite
anykeyh,clear,253,https://github.com/anykeyh/clear
costajob,app-servers,251,https://github.com/costajob/app-servers
tbrand,router.cr,241,https://github.com/tbrand/router.cr
crystal-lang,crystal-db,234,https://github.com/crystal-lang/crystal-db
