username,repo_name,stars,repo_url
jwasham,coding-interview-university,205000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,134000,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,101000,https://github.com/labuladong/fucking-algorithm
azl397985856,leetcode,46300,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,44100,https://github.com/TheAlgorithms/Java
raywenderlich,swift-algorithm-club,25900,https://github.com/raywenderlich/swift-algorithm-club
huihut,interview,22100,https://github.com/huihut/interview
TheAlgorithms,C-Plus-Plus,17700,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,16900,https://github.com/TheAlgorithms/Javascript
TheAlgorithms,C,12300,https://github.com/TheAlgorithms/C
OI-wiki,OI-wiki,9500,https://github.com/OI-wiki/OI-wiki
careercup,CtCI-6th-Edition,9500,https://github.com/careercup/CtCI-6th-Edition
TheAlgorithms,Go,7700,https://github.com/TheAlgorithms/Go
amejiarosario,dsa.js-data-structures-algorithms-javascript,6400,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
kunal-kushwaha,DSA-Bootcamp-Java,6100,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
mahmoud,boltons,5700,https://github.com/mahmoud/boltons
grandyang,leetcode,5700,https://github.com/grandyang/leetcode
twowaits,SDE-Interview-Questions,5500,https://github.com/twowaits/SDE-Interview-Questions
changgyhub,leetcode_101,5500,https://github.com/changgyhub/leetcode_101
TheAlgorithms,Rust,5000,https://github.com/TheAlgorithms/Rust
aalhour,C-Sharp-Algorithms,4700,https://github.com/aalhour/C-Sharp-Algorithms
mandliya,algorithms_and_data_structures,4700,https://github.com/mandliya/algorithms_and_data_structures
teivah,algodeck,4500,https://github.com/teivah/algodeck
seanprashad,leetcode-patterns,4500,https://github.com/seanprashad/leetcode-patterns
crossbeam-rs,crossbeam,4300,https://github.com/crossbeam-rs/crossbeam
OmkarPathak,pygorithm,4300,https://github.com/OmkarPathak/pygorithm
soapyigu,LeetCode-Swift,4200,https://github.com/soapyigu/LeetCode-Swift
phishman3579,java-algorithms-implementation,3900,https://github.com/phishman3579/java-algorithms-implementation
TheAlgorithms,C-Sharp,3500,https://github.com/TheAlgorithms/C-Sharp
felipernb,algorithms.js,3400,https://github.com/felipernb/algorithms.js
