username,repo_name,stars,repo_url
d3,d3,100000,https://github.com/d3/d3
apache,echarts,49600,https://github.com/apache/echarts
grafana,grafana,46800,https://github.com/grafana/grafana
apache,superset,44200,https://github.com/apache/superset
pixijs,pixijs,35400,https://github.com/pixijs/pixijs
metabase,metabase,27300,https://github.com/metabase/metabase
academic,awesome-datascience,17900,https://github.com/academic/awesome-datascience
streamlit,streamlit,17500,https://github.com/streamlit/streamlit
plotly,dash,15800,https://github.com/plotly/dash
matplotlib,matplotlib,14900,https://github.com/matplotlib/matplotlib
airbnb,visx,14700,https://github.com/airbnb/visx
plotly,plotly.js,14400,https://github.com/plotly/plotly.js
apexcharts,apexcharts.js,11100,https://github.com/apexcharts/apexcharts.js
antvis,G2,11100,https://github.com/antvis/G2
0xnr,awesome-bigdata,10600,https://github.com/0xnr/awesome-bigdata
visgl,deck.gl,9400,https://github.com/visgl/deck.gl
FormidableLabs,victory,9300,https://github.com/FormidableLabs/victory
c3js,c3,9200,https://github.com/c3js/c3
mwaskom,seaborn,9100,https://github.com/mwaskom/seaborn
terkelg,awesome-creative-coding,8900,https://github.com/terkelg/awesome-creative-coding
OpenRefine,OpenRefine,8600,https://github.com/OpenRefine/OpenRefine
keplergl,kepler.gl,8300,https://github.com/keplergl/kepler.gl
uber,react-vis,8100,https://github.com/uber/react-vis
microsoft,Data-Science-For-Beginners,8100,https://github.com/microsoft/Data-Science-For-Beginners
rawgraphs,rawgraphs-app,8000,https://github.com/rawgraphs/rawgraphs-app
antvis,F2,7600,https://github.com/antvis/F2
leeoniya,uPlot,6900,https://github.com/leeoniya/uPlot
PAIR-code,facets,6800,https://github.com/PAIR-code/facets
sourcerer-io,sourcerer-app,6700,https://github.com/sourcerer-io/sourcerer-app
visgl,react-map-gl,6300,https://github.com/visgl/react-map-gl
