username,repo_name,stars,repo_url
etcd-io,etcd,38700,https://github.com/etcd-io/etcd
pingcap,tidb,30300,https://github.com/pingcap/tidb
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
metabase,metabase,27300,https://github.com/metabase/metabase
typeorm,typeorm,27000,https://github.com/typeorm/typeorm
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
dbeaver,dbeaver,24300,https://github.com/dbeaver/dbeaver
cockroachdb,cockroach,23300,https://github.com/cockroachdb/cockroach
influxdata,influxdb,22800,https://github.com/influxdata/influxdb
sqlmapproject,sqlmap,22300,https://github.com/sqlmapproject/sqlmap
huihut,interview,22100,https://github.com/huihut/interview
facebook,rocksdb,21700,https://github.com/facebook/rocksdb
meilisearch,meilisearch,21100,https://github.com/meilisearch/meilisearch
mongodb,mongo,21100,https://github.com/mongodb/mongo
prisma,prisma,20200,https://github.com/prisma/prisma
PostgREST,postgrest,18300,https://github.com/PostgREST/postgrest
taosdata,TDengine,17600,https://github.com/taosdata/TDengine
dgraph-io,dgraph,17400,https://github.com/dgraph-io/dgraph
typicode,lowdb,17100,https://github.com/typicode/lowdb
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
prisma,prisma1,16800,https://github.com/prisma/prisma1
sqlitebrowser,sqlitebrowser,16000,https://github.com/sqlitebrowser/sqlitebrowser
amark,gun,15400,https://github.com/amark/gun
apache,shardingsphere,15200,https://github.com/apache/shardingsphere
realm,realm-swift,14900,https://github.com/realm/realm-swift
pouchdb,pouchdb,14700,https://github.com/pouchdb/pouchdb
directus,directus,13700,https://github.com/directus/directus
boltdb,bolt,12500,https://github.com/boltdb/bolt
valeriansaliou,sonic,12500,https://github.com/valeriansaliou/sonic
timescale,timescaledb,12400,https://github.com/timescale/timescaledb
