username,repo_name,stars,repo_url
tensorflow,tensorflow,163000,https://github.com/tensorflow/tensorflow
opencv,opencv,59500,https://github.com/opencv/opencv
huggingface,transformers,57500,https://github.com/huggingface/transformers
keras-team,keras,53800,https://github.com/keras-team/keras
pytorch,pytorch,53700,https://github.com/pytorch/pytorch
aymericdamien,TensorFlow-Examples,41600,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,40200,https://github.com/deepfakes/faceswap
Avik-Jain,100-Days-Of-ML-Code,34400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
CorentinJ,Real-Time-Voice-Cloning,33000,https://github.com/CorentinJ/Real-Time-Voice-Cloning
BVLC,caffe,32200,https://github.com/BVLC/caffe
floodsung,Deep-Learning-Papers-Reading-Roadmap,31600,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
iperov,DeepFaceLab,31000,https://github.com/iperov/DeepFaceLab
d2l-ai,d2l-zh,30000,https://github.com/d2l-ai/d2l-zh
GokuMohandas,MadeWithML,29500,https://github.com/GokuMohandas/MadeWithML
ZuzooVn,machine-learning-for-software-engineers,25600,https://github.com/ZuzooVn/machine-learning-for-software-engineers
naptha,tesseract.js,25400,https://github.com/naptha/tesseract.js
ageron,handson-ml,24000,https://github.com/ageron/handson-ml
terryum,awesome-deep-learning-papers,23500,https://github.com/terryum/awesome-deep-learning-papers
CMU-Perceptual-Computing-Lab,openpose,23200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yunjey,pytorch-tutorial,22900,https://github.com/yunjey/pytorch-tutorial
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks
explosion,spaCy,22300,https://github.com/explosion/spaCy
fastai,fastai,21900,https://github.com/fastai/fastai
ultralytics,yolov5,21700,https://github.com/ultralytics/yolov5
eriklindernoren,ML-From-Scratch,20800,https://github.com/eriklindernoren/ML-From-Scratch
babysor,MockingBird,19300,https://github.com/babysor/MockingBird
ray-project,ray,19000,https://github.com/ray-project/ray
mozilla,DeepSpeech,18900,https://github.com/mozilla/DeepSpeech
eugeneyan,applied-ml,18700,https://github.com/eugeneyan/applied-ml
deezer,spleeter,18600,https://github.com/deezer/spleeter
