username,repo_name,stars,repo_url
fastlane,fastlane,34000,https://github.com/fastlane/fastlane
ray-project,ray,19000,https://github.com/ray-project/ray
capistrano,capistrano,12100,https://github.com/capistrano/capistrano
deployphp,deployer,9000,https://github.com/deployphp/deployer
apex,up,8500,https://github.com/apex/up
caprover,caprover,8100,https://github.com/caprover/caprover
AppImage,AppImageKit,7000,https://github.com/AppImage/AppImageKit
chef,chef,6800,https://github.com/chef/chef
lorenwest,node-config,5500,https://github.com/lorenwest/node-config
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
StackStorm,st2,4700,https://github.com/StackStorm/st2
gaia-pipeline,gaia,4600,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4500,https://github.com/rundeck/rundeck
mina-deploy,mina,4200,https://github.com/mina-deploy/mina
meefik,linuxdeploy,3800,https://github.com/meefik/linuxdeploy
Triple-T,gradle-play-publisher,3700,https://github.com/Triple-T/gradle-play-publisher
PaddlePaddle,PaddleX,3500,https://github.com/PaddlePaddle/PaddleX
alirezadir,Production-Level-Deep-Learning,3400,https://github.com/alirezadir/Production-Level-Deep-Learning
SeldonIO,seldon-core,2900,https://github.com/SeldonIO/seldon-core
gitname,react-gh-pages,2900,https://github.com/gitname/react-gh-pages
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
rocketeers,rocketeer,2700,https://github.com/rocketeers/rocketeer
JamesIves,github-pages-deploy-action,2600,https://github.com/JamesIves/github-pages-deploy-action
ml-tooling,opyrator,2600,https://github.com/ml-tooling/opyrator
cobbler,cobbler,2200,https://github.com/cobbler/cobbler
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
getmeli,meli,2100,https://github.com/getmeli/meli
keel-hq,keel,1900,https://github.com/keel-hq/keel
ifzhang,ByteTrack,1800,https://github.com/ifzhang/ByteTrack
orchest,orchest,1800,https://github.com/orchest/orchest
