username,repo_name,stars,repo_url
django,django,62000,https://github.com/django/django
getsentry,sentry,30000,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,22700,https://github.com/encode/django-rest-framework
jumpserver,jumpserver,17800,https://github.com/jumpserver/jumpserver
saleor,saleor,15000,https://github.com/saleor/saleor
Miserlou,Zappa,11800,https://github.com/Miserlou/Zappa
wagtail,wagtail,11600,https://github.com/wagtail/wagtail
ansible,awx,10600,https://github.com/ansible/awx
cookiecutter,cookiecutter-django,9000,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,8600,https://github.com/django-cms/django-cms
PostHog,posthog,6100,https://github.com/PostHog/posthog
graphite-project,graphite-web,5400,https://github.com/graphite-project/graphite-web
arachnys,cabot,5200,https://github.com/arachnys/cabot
django-oscar,django-oscar,5200,https://github.com/django-oscar/django-oscar
wsvincent,awesome-django,4900,https://github.com/wsvincent/awesome-django
QingdaoU,OnlineJudge,4500,https://github.com/QingdaoU/OnlineJudge
healthchecks,healthchecks,4400,https://github.com/healthchecks/healthchecks
liangliangyy,DjangoBlog,4300,https://github.com/liangliangyy/DjangoBlog
joerick,pyinstrument,4100,https://github.com/joerick/pyinstrument
jonaswinkler,paperless-ng,3900,https://github.com/jonaswinkler/paperless-ng
graphql-python,graphene-django,3800,https://github.com/graphql-python/graphene-django
LibrePhotos,librephotos,3600,https://github.com/LibrePhotos/librephotos
geex-arts,django-jet,3200,https://github.com/geex-arts/django-jet
jpadilla,django-rest-framework-jwt,3100,https://github.com/jpadilla/django-rest-framework-jwt
guohongze,adminset,3000,https://github.com/guohongze/adminset
lepture,authlib,2900,https://github.com/lepture/authlib
WeblateOrg,weblate,2800,https://github.com/WeblateOrg/weblate
FactoryBoy,factory_boy,2700,https://github.com/FactoryBoy/factory_boy
awesto,django-shop,2700,https://github.com/awesto/django-shop
