username,repo_name,stars,repo_url
moby,moby,62100,https://github.com/moby/moby
netdata,netdata,57500,https://github.com/netdata/netdata
macrozheng,mall,55700,https://github.com/macrozheng/mall
traefik,traefik,36600,https://github.com/traefik/traefik
Kong,kong,31100,https://github.com/Kong/kong
wagoodman,dive,29800,https://github.com/wagoodman/dive
ityouknow,spring-boot-examples,27000,https://github.com/ityouknow/spring-boot-examples
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
mastodon,mastodon,26400,https://github.com/mastodon/mastodon
docker,compose,24800,https://github.com/docker/compose
harness,drone,24500,https://github.com/harness/drone
dokku,dokku,22300,https://github.com/dokku/dokku
sickcodes,Docker-OSX,21200,https://github.com/sickcodes/Docker-OSX
veggiemonk,awesome-docker,21100,https://github.com/veggiemonk/awesome-docker
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
openfaas,faas,21000,https://github.com/openfaas/faas
portainer,portainer,20800,https://github.com/portainer/portainer
wsargent,docker-cheat-sheet,20600,https://github.com/wsargent/docker-cheat-sheet
n8n-io,n8n,20000,https://github.com/n8n-io/n8n
yeasy,docker_practice,19900,https://github.com/yeasy/docker_practice
dotnet-architecture,eShopOnContainers,19700,https://github.com/dotnet-architecture/eShopOnContainers
jhipster,generator-jhipster,19300,https://github.com/jhipster/generator-jhipster
rancher,rancher,18400,https://github.com/rancher/rancher
appwrite,appwrite,16100,https://github.com/appwrite/appwrite
nginx-proxy,nginx-proxy,15600,https://github.com/nginx-proxy/nginx-proxy
outline,outline,14200,https://github.com/outline/outline
NVIDIA,nvidia-docker,14100,https://github.com/NVIDIA/nvidia-docker
dani-garcia,vaultwarden,13900,https://github.com/dani-garcia/vaultwarden
eip-work,kuboard-press,13200,https://github.com/eip-work/kuboard-press
verdaccio,verdaccio,12900,https://github.com/verdaccio/verdaccio
