username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
tldr-pages,tldr,37100,https://github.com/tldr-pages/tldr
facebook,docusaurus,30200,https://github.com/facebook/docusaurus
satwikkansal,wtfpython,28100,https://github.com/satwikkansal/wtfpython
chubin,cheat.sh,28100,https://github.com/chubin/cheat.sh
freeCodeCamp,devdocs,27600,https://github.com/freeCodeCamp/devdocs
doczjs,docz,22200,https://github.com/doczjs/docz
docsifyjs,docsify,19700,https://github.com/docsifyjs/docsify
charlax,professional-programming,16000,https://github.com/charlax/professional-programming
Requarks,wiki,15200,https://github.com/Requarks/wiki
shimohq,chinese-programmer-wrong-pronunciation,14900,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
SimulatedGREG,electron-vue,14700,https://github.com/SimulatedGREG/electron-vue
nhn,tui.editor,14200,https://github.com/nhn/tui.editor
mkdocs,mkdocs,13500,https://github.com/mkdocs/mkdocs
jsdoc,jsdoc,12700,https://github.com/jsdoc/jsdoc
pandao,editor.md,11800,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,10800,https://github.com/sparanoid/chinese-copywriting-guidelines
styleguidist,react-styleguidist,10200,https://github.com/styleguidist/react-styleguidist
github,opensource.guide,10100,https://github.com/github/opensource.guide
zealdocs,zeal,9200,https://github.com/zealdocs/zeal
cheat,cheat,8700,https://github.com/cheat/cheat
squidfunk,mkdocs-material,8600,https://github.com/squidfunk/mkdocs-material
BookStackApp,BookStack,8500,https://github.com/BookStackApp/BookStack
Kapeli,Dash-iOS,7100,https://github.com/Kapeli/Dash-iOS
reactjs,reactjs.org,6800,https://github.com/reactjs/reactjs.org
nayafia,lemonade-stand,6500,https://github.com/nayafia/lemonade-stand
TypeStrong,typedoc,5500,https://github.com/TypeStrong/typedoc
documentationjs,documentation,5500,https://github.com/documentationjs/documentation
tensorflow,docs,5100,https://github.com/tensorflow/docs
