username,repo_name,stars,repo_url
airbnb,javascript,119000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,74200,https://github.com/goldbergyoni/nodebestpractices
standard,standard,26600,https://github.com/standard/standard
eslint,eslint,19900,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,19000,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,18800,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,14200,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,11000,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,9700,https://github.com/okonet/lint-staged
yannickcr,eslint-plugin-react,7600,https://github.com/yannickcr/eslint-plugin-react
xojs,xo,6300,https://github.com/xojs/xo
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
import-js,eslint-plugin-import,3800,https://github.com/import-js/eslint-plugin-import
emacs-lsp,lsp-mode,3700,https://github.com/emacs-lsp/lsp-mode
vuejs,eslint-plugin-vue,3600,https://github.com/vuejs/eslint-plugin-vue
microsoft,rushstack,3600,https://github.com/microsoft/rushstack
prettier,eslint-config-prettier,3600,https://github.com/prettier/eslint-config-prettier
prettier,prettier-eslint,3500,https://github.com/prettier/prettier-eslint
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
dustinspecker,awesome-eslint,2800,https://github.com/dustinspecker/awesome-eslint
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
amilajack,eslint-plugin-compat,2800,https://github.com/amilajack/eslint-plugin-compat
jsx-eslint,eslint-plugin-jsx-a11y,2700,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
nas5w,100-days-of-code-frontend,2400,https://github.com/nas5w/100-days-of-code-frontend
wesbos,eslint-config-wesbos,2300,https://github.com/wesbos/eslint-config-wesbos
sindresorhus,eslint-plugin-unicorn,2300,https://github.com/sindresorhus/eslint-plugin-unicorn
standard,eslint-config-standard,2200,https://github.com/standard/eslint-config-standard
AlloyTeam,eslint-config-alloy,2200,https://github.com/AlloyTeam/eslint-config-alloy
suanmei,callapp-lib,1900,https://github.com/suanmei/callapp-lib
ericalli,static-site-boilerplate,1600,https://github.com/ericalli/static-site-boilerplate
