username,repo_name,stars,repo_url
syl20bnr,spacemacs,22000,https://github.com/syl20bnr/spacemacs
hlissner,doom-emacs,13200,https://github.com/hlissner/doom-emacs
atlas-engineer,nyxt,7200,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,6800,https://github.com/emacs-tw/awesome-emacs
mickael-kerjean,filestash,5500,https://github.com/mickael-kerjean/filestash
magit,magit,5500,https://github.com/magit/magit
bbatsov,prelude,4800,https://github.com/bbatsov/prelude
remacs,remacs,4500,https://github.com/remacs/remacs
jwiegley,use-package,3800,https://github.com/jwiegley/use-package
emacs-lsp,lsp-mode,3700,https://github.com/emacs-lsp/lsp-mode
bbatsov,projectile,3500,https://github.com/bbatsov/projectile
clojure-emacs,cider,3300,https://github.com/clojure-emacs/cider
emacs-helm,helm,3100,https://github.com/emacs-helm/helm
emacs-evil,evil,2300,https://github.com/emacs-evil/evil
for-GET,know-your-http-well,2200,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2200,https://github.com/flycheck/flycheck
emacs-china,Spacemacs-rocks,2000,https://github.com/emacs-china/Spacemacs-rocks
emacs-eaf,emacs-application-framework,2000,https://github.com/emacs-eaf/emacs-application-framework
abo-abo,swiper,2000,https://github.com/abo-abo/swiper
raxod502,straight.el,1900,https://github.com/raxod502/straight.el
doomemacs,themes,1700,https://github.com/doomemacs/themes
200ok-ch,organice,1600,https://github.com/200ok-ch/organice
auto-complete,auto-complete,1600,https://github.com/auto-complete/auto-complete
slime,slime,1600,https://github.com/slime/slime
Fuco1,smartparens,1500,https://github.com/Fuco1/smartparens
Kungsgeten,org-brain,1500,https://github.com/Kungsgeten/org-brain
Alexander-Miller,treemacs,1500,https://github.com/Alexander-Miller/treemacs
seagle0128,.emacs.d,1500,https://github.com/seagle0128/.emacs.d
fxbois,web-mode,1500,https://github.com/fxbois/web-mode
rougier,nano-emacs,1400,https://github.com/rougier/nano-emacs
