username,repo_name,stars,repo_url
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
TryGhost,Ghost,39500,https://github.com/TryGhost/Ghost
discourse,discourse,34900,https://github.com/discourse/discourse
emberjs,ember.js,22100,https://github.com/emberjs/ember.js
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
getsentry,sentry-javascript,6100,https://github.com/getsentry/sentry-javascript
szimek,sharedrop,5300,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3000,https://github.com/emberjs/data
simplabs,ember-simple-auth,1900,https://github.com/simplabs/ember-simple-auth
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
krakenjs,zoid,1700,https://github.com/krakenjs/zoid
FancyGrid,awesome-grid,1200,https://github.com/FancyGrid/awesome-grid
emberjs,ember-inspector,943,https://github.com/emberjs/ember-inspector
Shopify,storefront-api-examples,938,https://github.com/Shopify/storefront-api-examples
miguelcobain,ember-paper,873,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,858,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,796,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,748,https://github.com/emberjs/rfcs
emberjs,website,622,https://github.com/emberjs/website
travis-ci,travis-web,592,https://github.com/travis-ci/travis-web
TryGhost,Admin,591,https://github.com/TryGhost/Admin
cibernox,ember-power-select,526,https://github.com/cibernox/ember-power-select
rancher,ui,520,https://github.com/rancher/ui
ember-engines,ember-engines,490,https://github.com/ember-engines/ember-engines
kaliber5,ember-bootstrap,484,https://github.com/kaliber5/ember-bootstrap
offirgolan,ember-cp-validations,445,https://github.com/offirgolan/ember-cp-validations
ember-intl,ember-intl,428,https://github.com/ember-intl/ember-intl
Esri,esri-loader,421,https://github.com/Esri/esri-loader
ember-infinity,ember-infinity,375,https://github.com/ember-infinity/ember-infinity
