username,repo_name,stars,repo_url
yuzu-emu,yuzu,18400,https://github.com/yuzu-emu/yuzu
OpenEmu,OpenEmu,13500,https://github.com/OpenEmu/OpenEmu
copy,v86,13200,https://github.com/copy/v86
ish-app,ish,11300,https://github.com/ish-app/ish
Ryujinx,Ryujinx,11100,https://github.com/Ryujinx/Ryujinx
ruffle-rs,ruffle,9300,https://github.com/ruffle-rs/ruffle
dolphin-emu,dolphin,8100,https://github.com/dolphin-emu/dolphin
amitshekhariitbhu,Android-Debug-Database,8000,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,7700,https://github.com/felixrieseberg/macintosh.js
citra-emu,citra,7100,https://github.com/citra-emu/citra
PCSX2,pcsx2,6200,https://github.com/PCSX2/pcsx2
xenia-project,xenia,5500,https://github.com/xenia-project/xenia
bfirsh,jsnes,5400,https://github.com/bfirsh/jsnes
unicorn-engine,unicorn,5000,https://github.com/unicorn-engine/unicorn
Provenance-Emu,Provenance,4800,https://github.com/Provenance-Emu/Provenance
HFO4,gameboy.live,4300,https://github.com/HFO4/gameboy.live
mininet,mininet,4200,https://github.com/mininet/mininet
budtmo,docker-android,4200,https://github.com/budtmo/docker-android
CalebFenton,simplify,3900,https://github.com/CalebFenton/simplify
Baekalfen,PyBoy,3400,https://github.com/Baekalfen/PyBoy
amhndu,SimpleNES,3100,https://github.com/amhndu/SimpleNES
qilingframework,qiling,3100,https://github.com/qilingframework/qiling
stenzek,duckstation,3100,https://github.com/stenzek/duckstation
skyline-emu,skyline,3000,https://github.com/skyline-emu/skyline
iVoider,PlayCover,2700,https://github.com/iVoider/PlayCover
cea-sec,miasm,2700,https://github.com/cea-sec/miasm
jcubic,jquery.terminal,2600,https://github.com/jcubic/jquery.terminal
Humpheh,goboy,2400,https://github.com/Humpheh/goboy
azerothcore,azerothcore-wotlk,1800,https://github.com/azerothcore/azerothcore-wotlk
zhkl0228,unidbg,1800,https://github.com/zhkl0228/unidbg
