username,repo_name,stars,repo_url
supabase,supabase,27300,https://github.com/supabase/supabase
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
appwrite,appwrite,16100,https://github.com/appwrite/appwrite
firebase,functions-samples,10700,https://github.com/firebase/functions-samples
invertase,react-native-firebase,9800,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8000,https://github.com/firebase/quickstart-android
angular,angularfire,7100,https://github.com/angular/angularfire
FirebaseExtended,flutterfire,6100,https://github.com/FirebaseExtended/flutterfire
microg,GmsCore,4400,https://github.com/microg/GmsCore
kriasoft,react-firebase-starter,4400,https://github.com/kriasoft/react-firebase-starter
firebase,FirebaseUI-Android,4400,https://github.com/firebase/FirebaseUI-Android
Th3Wall,Fakeflix,4300,https://github.com/Th3Wall/Fakeflix
firebase,firebase-js-sdk,3900,https://github.com/firebase/firebase-js-sdk
devias-io,material-kit-react,3600,https://github.com/devias-io/material-kit-react
firebase,firebase-ios-sdk,3400,https://github.com/firebase/firebase-ios-sdk
spacecloud-io,space-cloud,3400,https://github.com/spacecloud-io/space-cloud
vuejs,vuefire,3200,https://github.com/vuejs/vuefire
FirebaseExtended,reactfire,2900,https://github.com/FirebaseExtended/reactfire
rowyio,rowy,2600,https://github.com/rowyio/rowy
prescottprue,react-redux-firebase,2500,https://github.com/prescottprue/react-redux-firebase
alyssaxuu,mapus,2500,https://github.com/alyssaxuu/mapus
Canner,cannercms,2500,https://github.com/Canner/cannercms
firebase,quickstart-ios,2400,https://github.com/firebase/quickstart-ios
CSFrequency,react-firebase-hooks,2300,https://github.com/CSFrequency/react-firebase-hooks
unicodeveloper,awesome-opensource-apps,2200,https://github.com/unicodeveloper/awesome-opensource-apps
insin,react-hn,2200,https://github.com/insin/react-hn
tylermcginnis,re-base,2200,https://github.com/tylermcginnis/re-base
ThreeDotsLabs,wild-workouts-go-ddd-example,2100,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
WorldHealthOrganization,app,2100,https://github.com/WorldHealthOrganization/app
google,santa-tracker-android,2100,https://github.com/google/santa-tracker-android
