username,repo_name,stars,repo_url
pallets,flask,57800,https://github.com/pallets/flask
apache,superset,44200,https://github.com/apache/superset
plotly,dash,15800,https://github.com/plotly/dash
jhao104,proxy_pool,14300,https://github.com/jhao104/proxy_pool
Miserlou,Zappa,11800,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,10400,https://github.com/humiaozuzu/awesome-flask
miguelgrinberg,flasky,7600,https://github.com/miguelgrinberg/flasky
jofpin,trape,6800,https://github.com/jofpin/trape
dvf,blockchain,6600,https://github.com/dvf/blockchain
pyeve,eve,6400,https://github.com/pyeve/eve
joeyespo,grip,5500,https://github.com/joeyespo/grip
benbusby,whoogle-search,4900,https://github.com/benbusby/whoogle-search
miguelgrinberg,Flask-SocketIO,4600,https://github.com/miguelgrinberg/Flask-SocketIO
schenkd,nginx-ui,4100,https://github.com/schenkd/nginx-ui
cookiecutter-flask,cookiecutter-flask,4000,https://github.com/cookiecutter-flask/cookiecutter-flask
miguelgrinberg,microblog,3800,https://github.com/miguelgrinberg/microblog
CTFd,CTFd,3800,https://github.com/CTFd/CTFd
pallets,flask-sqlalchemy,3700,https://github.com/pallets/flask-sqlalchemy
dpgaspar,Flask-AppBuilder,3600,https://github.com/dpgaspar/Flask-AppBuilder
taoufik07,responder,3600,https://github.com/taoufik07/responder
christabor,flask_jsondash,3200,https://github.com/christabor/flask_jsondash
gaojiuli,toapi,3200,https://github.com/gaojiuli/toapi
Python3WebSpider,ProxyPool,3200,https://github.com/Python3WebSpider/ProxyPool
ahkarami,Deep-Learning-in-Production,3100,https://github.com/ahkarami/Deep-Learning-in-Production
the0demiurge,ShadowSocksShare,3100,https://github.com/the0demiurge/ShadowSocksShare
man-group,dtale,3000,https://github.com/man-group/dtale
nyaadevs,nyaa,2900,https://github.com/nyaadevs/nyaa
lepture,authlib,2900,https://github.com/lepture/authlib
flasgger,flasgger,2900,https://github.com/flasgger/flasgger
formspree,formspree,2800,https://github.com/formspree/formspree
