username,repo_name,stars,repo_url
FortAwesome,Font-Awesome,67300,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,61700,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,32800,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,16700,https://github.com/you-dont-need/You-Dont-Need-JavaScript
source-foundry,Hack,14600,https://github.com/source-foundry/Hack
rsms,inter,13400,https://github.com/rsms/inter
gztchan,awesome-design,13400,https://github.com/gztchan/awesome-design
be5invis,Iosevka,13400,https://github.com/be5invis/Iosevka
faressoft,terminalizer,12300,https://github.com/faressoft/terminalizer
adobe-fonts,source-han-sans,10400,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,10200,https://github.com/neutraltone/awesome-stock-resources
cdnjs,cdnjs,9300,https://github.com/cdnjs/cdnjs
dompdf,dompdf,8600,https://github.com/dompdf/dompdf
IBM,plex,7400,https://github.com/IBM/plex
ubuwaits,beautiful-web-type,7100,https://github.com/ubuwaits/beautiful-web-type
snowie2000,mactype,7000,https://github.com/snowie2000/mactype
be5invis,Sarasa-Gothic,6900,https://github.com/be5invis/Sarasa-Gothic
JetBrains,JetBrainsMono,6900,https://github.com/JetBrains/JetBrainsMono
adobe-fonts,source-han-serif,6000,https://github.com/adobe-fonts/source-han-serif
belluzj,fantasque-sans,5800,https://github.com/belluzj/fantasque-sans
chrissimpkins,codeface,5600,https://github.com/chrissimpkins/codeface
i-tu,Hasklig,5200,https://github.com/i-tu/Hasklig
lxgw,LxgwWenKai,4900,https://github.com/lxgw/LxgwWenKai
devicons,devicon,4700,https://github.com/devicons/devicon
ecomfe,fontmin,4500,https://github.com/ecomfe/fontmin
uswds,public-sans,4100,https://github.com/uswds/public-sans
opentypejs,opentype.js,3400,https://github.com/opentypejs/opentype.js
alfredxing,brick,2900,https://github.com/alfredxing/brick
olikraus,u8g2,2800,https://github.com/olikraus/u8g2
kiliman,operator-mono-lig,2700,https://github.com/kiliman/operator-mono-lig
