username,repo_name,stars,repo_url
vuejs,vue,193000,https://github.com/vuejs/vue
laravel,laravel,68100,https://github.com/laravel/laravel
django,django,62000,https://github.com/django/django
spring-projects,spring-boot,59400,https://github.com/spring-projects/spring-boot
gin-gonic,gin,55100,https://github.com/gin-gonic/gin
rails,rails,50000,https://github.com/rails/rails
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
spring-projects,spring-framework,46000,https://github.com/spring-projects/spring-framework
nestjs,nest,44100,https://github.com/nestjs/nest
meteor,meteor,42800,https://github.com/meteor/meteor
scrapy,scrapy,42700,https://github.com/scrapy/scrapy
tiangolo,fastapi,41200,https://github.com/tiangolo/fastapi
nuxt,nuxt.js,39300,https://github.com/nuxt/nuxt.js
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
symfony,symfony,26400,https://github.com/symfony/symfony
laravel,framework,26000,https://github.com/laravel/framework
postcss,postcss,25800,https://github.com/postcss/postcss
ianstormtaylor,slate,23400,https://github.com/ianstormtaylor/slate
akveo,ngx-admin,23400,https://github.com/akveo/ngx-admin
mdbootstrap,mdb-ui-kit,21900,https://github.com/mdbootstrap/mdb-ui-kit
kataras,iris,21800,https://github.com/kataras/iris
vapor,vapor,21300,https://github.com/vapor/vapor
libgdx,libgdx,19600,https://github.com/libgdx/libgdx
jorgebucaran,hyperapp,18700,https://github.com/jorgebucaran/hyperapp
gofiber,fiber,17900,https://github.com/gofiber/fiber
eggjs,egg,17700,https://github.com/eggjs/egg
python-telegram-bot,python-telegram-bot,17500,https://github.com/python-telegram-bot/python-telegram-bot
alibaba,ice,17000,https://github.com/alibaba/ice
framework7io,framework7,16600,https://github.com/framework7io/framework7
go-kratos,kratos,16400,https://github.com/go-kratos/kratos
