username,repo_name,stars,repo_url
godotengine,godot,46000,https://github.com/godotengine/godot
leereilly,games,18900,https://github.com/leereilly/games
cocos2d,cocos2d-x,15800,https://github.com/cocos2d/cocos2d-x
BabylonJS,Babylon.js,15800,https://github.com/BabylonJS/Babylon.js
bevyengine,bevy,13800,https://github.com/bevyengine/bevy
aframevr,aframe,13700,https://github.com/aframevr/aframe
liabru,matter-js,12700,https://github.com/liabru/matter-js
SFTtech,openage,10800,https://github.com/SFTtech/openage
OpenRA,OpenRA,10400,https://github.com/OpenRA/OpenRA
OpenDiablo2,OpenDiablo2,10100,https://github.com/OpenDiablo2/OpenDiablo2
kitao,pyxel,9400,https://github.com/kitao/pyxel
ellisonleao,magictools,9100,https://github.com/ellisonleao/magictools
boardgameio,boardgame.io,9000,https://github.com/boardgameio/boardgame.io
raysan5,raylib,8500,https://github.com/raysan5/raylib
MonoGame,MonoGame,8100,https://github.com/MonoGame/MonoGame
amethyst,amethyst,7700,https://github.com/amethyst/amethyst
playcanvas,engine,7100,https://github.com/playcanvas/engine
minetest,minetest,6600,https://github.com/minetest/minetest
skypjack,entt,6300,https://github.com/skypjack/entt
hajimehoshi,ebiten,6000,https://github.com/hajimehoshi/ebiten
flame-engine,flame,5800,https://github.com/flame-engine/flame
sschmid,Entitas-CSharp,5400,https://github.com/sschmid/Entitas-CSharp
egametang,ET,5400,https://github.com/egametang/ET
o3de,o3de,4300,https://github.com/o3de/o3de
urho3d,Urho3D,3800,https://github.com/urho3d/Urho3D
faiface,pixel,3800,https://github.com/faiface/pixel
melonjs,melonJS,3800,https://github.com/melonjs/melonJS
mosra,magnum,3800,https://github.com/mosra/magnum
egret-labs,egret-core,3700,https://github.com/egret-labs/egret-core
stride3d,stride,3600,https://github.com/stride3d/stride
