username,repo_name,stars,repo_url
github,gitignore,129000,https://github.com/github/gitignore
gogs,gogs,38400,https://github.com/gogs/gogs
tiimgreen,github-cheat-sheet,33800,https://github.com/tiimgreen/github-cheat-sheet
sharkdp,bat,32000,https://github.com/sharkdp/bat
go-gitea,gitea,28100,https://github.com/go-gitea/gitea
cli,cli,27000,https://github.com/cli/cli
jesseduffield,lazygit,25700,https://github.com/jesseduffield/lazygit
typicode,husky,25400,https://github.com/typicode/husky
github,hub,21500,https://github.com/github/hub
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
git-tips,tips,20100,https://github.com/git-tips/tips
tj,git-extras,15400,https://github.com/tj/git-extras
so-fancy,diff-so-fancy,15200,https://github.com/so-fancy/diff-so-fancy
Requarks,wiki,15200,https://github.com/Requarks/wiki
netlify,netlify-cms,14900,https://github.com/netlify/netlify-cms
geeeeeeeeek,git-recipes,14100,https://github.com/geeeeeeeeek/git-recipes
desktop,desktop,13900,https://github.com/desktop/desktop
521xueweihan,git-tips,13600,https://github.com/521xueweihan/git-tips
commitizen,cz-cli,12900,https://github.com/commitizen/cz-cli
pomber,git-history,12700,https://github.com/pomber/git-history
phacility,phabricator,12200,https://github.com/phacility/phabricator
aalansehaiyang,technology-talk,12200,https://github.com/aalansehaiyang/technology-talk
dandavison,delta,12100,https://github.com/dandavison/delta
meolu,walle-web,11300,https://github.com/meolu/walle-web
sindresorhus,pure,11000,https://github.com/sindresorhus/pure
jonas,tig,10600,https://github.com/jonas/tig
conventional-changelog,commitlint,10200,https://github.com/conventional-changelog/commitlint
dolthub,dolt,10100,https://github.com/dolthub/dolt
git-lfs,git-lfs,9900,https://github.com/git-lfs/git-lfs
FredrikNoren,ungit,9900,https://github.com/FredrikNoren/ungit
