username,repo_name,stars,repo_url
github,hub,21500,https://github.com/github/hub
tipsy,profile-summary-for-github,19500,https://github.com/tipsy/profile-summary-for-github
google,go-github,8100,https://github.com/google/go-github
devhubapp,devhub,7900,https://github.com/devhubapp/devhub
donnemartin,gitsome,7200,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,6700,https://github.com/github-changelog-generator/github-changelog-generator
michenriksen,gitrob,5300,https://github.com/michenriksen/gitrob
PyGithub,PyGithub,5000,https://github.com/PyGithub/PyGithub
lowlighter,metrics,5000,https://github.com/lowlighter/metrics
manosim,gitify,3600,https://github.com/manosim/gitify
octokit,octokit.rb,3500,https://github.com/octokit/octokit.rb
0xPool,Gitter,3500,https://github.com/0xPool/Gitter
eth0izzle,shhgit,3300,https://github.com/eth0izzle/shhgit
async-labs,builderbook,3100,https://github.com/async-labs/builderbook
jonan,ForkHub,2800,https://github.com/jonan/ForkHub
leonhartX,gas-github,2100,https://github.com/leonhartX/gas-github
actions,github-script,2000,https://github.com/actions/github-script
AntBranch,awesome-github,2000,https://github.com/AntBranch/awesome-github
KnpLabs,php-github-api,1900,https://github.com/KnpLabs/php-github-api
coderyi,Monkey,1800,https://github.com/coderyi/Monkey
debugger22,github-audio,1700,https://github.com/debugger22/github-audio
the-road-to-graphql,react-graphql-github-apollo,1600,https://github.com/the-road-to-graphql/react-graphql-github-apollo
jaywcjlove,github-rank,1500,https://github.com/jaywcjlove/github-rank
GitHub-Laziji,VBlog,1400,https://github.com/GitHub-Laziji/VBlog
KwaiAppTeam,SwiftPamphletApp,1300,https://github.com/KwaiAppTeam/SwiftPamphletApp
QasimWani,LeetHub,1200,https://github.com/QasimWani/LeetHub
jstrieb,github-stats,1200,https://github.com/jstrieb/github-stats
kezhenxu94,mini-github,1200,https://github.com/kezhenxu94/mini-github
pksunkara,octonode,1200,https://github.com/pksunkara/octonode
MinhasKamal,DownGit,1100,https://github.com/MinhasKamal/DownGit
