username,repo_name,stars,repo_url
golang,go,94900,https://github.com/golang/go
kubernetes,kubernetes,85000,https://github.com/kubernetes/kubernetes
avelino,awesome-go,74600,https://github.com/avelino/awesome-go
moby,moby,62100,https://github.com/moby/moby
gohugoio,hugo,56700,https://github.com/gohugoio/hugo
gin-gonic,gin,55100,https://github.com/gin-gonic/gin
fatedier,frp,53000,https://github.com/fatedier/frp
grafana,grafana,46800,https://github.com/grafana/grafana
syncthing,syncthing,42700,https://github.com/syncthing/syncthing
junegunn,fzf,41800,https://github.com/junegunn/fzf
etcd-io,etcd,38700,https://github.com/etcd-io/etcd
gogs,gogs,38400,https://github.com/gogs/gogs
caddyserver,caddy,36700,https://github.com/caddyserver/caddy
traefik,traefik,36600,https://github.com/traefik/traefik
ethereum,go-ethereum,35100,https://github.com/ethereum/go-ethereum
minio,minio,31300,https://github.com/minio/minio
rclone,rclone,31100,https://github.com/rclone/rclone
pingcap,tidb,30300,https://github.com/pingcap/tidb
golang-standards,project-layout,29200,https://github.com/golang-standards/project-layout
unknwon,the-way-to-go_ZH_CN,28700,https://github.com/unknwon/the-way-to-go_ZH_CN
go-gitea,gitea,28100,https://github.com/go-gitea/gitea
beego,beego,27600,https://github.com/beego/beego
go-gorm,gorm,26700,https://github.com/go-gorm/gorm
spf13,cobra,25000,https://github.com/spf13/cobra
docker,compose,24800,https://github.com/docker/compose
harness,drone,24500,https://github.com/harness/drone
cockroachdb,cockroach,23300,https://github.com/cockroachdb/cockroach
kubernetes,minikube,23100,https://github.com/kubernetes/minikube
halfrost,LeetCode-Go,23100,https://github.com/halfrost/LeetCode-Go
influxdata,influxdb,22800,https://github.com/influxdata/influxdb
