username,repo_name,stars,repo_url
google-research,bert,30300,https://github.com/google-research/bert
kelthuzadx,hosts,16700,https://github.com/kelthuzadx/hosts
google,yapf,12300,https://github.com/google/yapf
firebase,functions-samples,10700,https://github.com/firebase/functions-samples
mxrch,GHunt,10600,https://github.com/mxrch/GHunt
googleapis,google-api-nodejs-client,9800,https://github.com/googleapis/google-api-nodejs-client
google,dopamine,9700,https://github.com/google/dopamine
tensorlayer,TensorLayer,6800,https://github.com/tensorlayer/TensorLayer
FirebaseExtended,flutterfire,6100,https://github.com/FirebaseExtended/flutterfire
selierlin,Share-SSR-V2ray,6100,https://github.com/selierlin/Share-SSR-V2ray
tycrek,degoogle,5700,https://github.com/tycrek/degoogle
jarun,googler,5700,https://github.com/jarun/googler
google-map-react,google-map-react,5600,https://github.com/google-map-react/google-map-react
Tapadoo,Alerter,5200,https://github.com/Tapadoo/Alerter
infracost,infracost,4900,https://github.com/infracost/infracost
microg,GmsCore,4400,https://github.com/microg/GmsCore
lennylxx,ipv6-hosts,4400,https://github.com/lennylxx/ipv6-hosts
google,closure-library,4300,https://github.com/google/closure-library
google,gts,3800,https://github.com/google/gts
justjavac,Google-IPs,3400,https://github.com/justjavac/Google-IPs
zdhxiong,mdui,3400,https://github.com/zdhxiong/mdui
txthinking,google-hosts,3300,https://github.com/txthinking/google-hosts
hybridauth,hybridauth,3200,https://github.com/hybridauth/hybridauth
FlutterOpen,flutter-ui-nice,3100,https://github.com/FlutterOpen/flutter-ui-nice
openthread,openthread,2700,https://github.com/openthread/openthread
spatie,laravel-analytics,2600,https://github.com/spatie/laravel-analytics
google,google-ctf,2600,https://github.com/google/google-ctf
GAM-team,GAM,2600,https://github.com/GAM-team/GAM
simon-weber,gmusicapi,2500,https://github.com/simon-weber/gmusicapi
Canner,cannercms,2500,https://github.com/Canner/cannercms
