username,repo_name,stars,repo_url
gradle,gradle,13000,https://github.com/gradle/gradle
GoogleContainerTools,jib,11500,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7300,https://github.com/inferjay/AndroidDevTools
Meituan-Dianping,walle,6300,https://github.com/Meituan-Dianping/walle
igorwojda,android-showcase,5300,https://github.com/igorwojda/android-showcase
hibernate,hibernate-orm,4900,https://github.com/hibernate/hibernate-orm
mcxiaoke,packer-ng-plugin,4700,https://github.com/mcxiaoke/packer-ng-plugin
nisrulz,android-tips-tricks,4500,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4100,https://github.com/Meituan-Dianping/Robust
cabaletta,baritone,4000,https://github.com/cabaletta/baritone
cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
gradle,kotlin-dsl-samples,3500,https://github.com/gradle/kotlin-dsl-samples
Kotlin,kotlin-examples,3000,https://github.com/Kotlin/kotlin-examples
north2016,T-MVP,2700,https://github.com/north2016/T-MVP
Qihoo360,ArgusAPM,2500,https://github.com/Qihoo360/ArgusAPM
Tencent,VasDolly,2500,https://github.com/Tencent/VasDolly
diffplug,spotless,2400,https://github.com/diffplug/spotless
EngineHub,WorldEdit,2300,https://github.com/EngineHub/WorldEdit
bytedance,ByteX,2300,https://github.com/bytedance/ByteX
jitpack,jitpack.io,2200,https://github.com/jitpack/jitpack.io
mancj,MaterialSearchBar,2000,https://github.com/mancj/MaterialSearchBar
AnyChart,AnyChart-Android,1800,https://github.com/AnyChart/AnyChart-Android
julian-klode,dns66,1800,https://github.com/julian-klode/dns66
sanluan,PublicCMS,1800,https://github.com/sanluan/PublicCMS
jeanboydev,Android-ReadTheFuckingSourceCode,1700,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode
uber,okbuck,1500,https://github.com/uber/okbuck
REBOOTERS,AndroidAnimationExercise,1500,https://github.com/REBOOTERS/AndroidAnimationExercise
typ0520,fastdex,1500,https://github.com/typ0520/fastdex
javiersantos,PiracyChecker,1400,https://github.com/javiersantos/PiracyChecker
linisme,Cipher.so,1300,https://github.com/linisme/Cipher.so
