username,repo_name,stars,repo_url
twbs,bootstrap,155000,https://github.com/twbs/bootstrap
electron,electron,100000,https://github.com/electron/electron
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
thedaviddias,Front-End-Checklist,57900,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,52200,https://github.com/h5bp/html5-boilerplate
rails,rails,50000,https://github.com/rails/rails
jgthms,bulma,45000,https://github.com/jgthms/bulma
prettier,prettier,41700,https://github.com/prettier/prettier
microsoft,Web-Dev-For-Beginners,40200,https://github.com/microsoft/Web-Dev-For-Beginners
parcel-bundler,parcel,40100,https://github.com/parcel-bundler/parcel
vercel,hyper,37800,https://github.com/vercel/hyper
videojs,video.js,32600,https://github.com/videojs/video.js
yangshun,front-end-interview-handbook,32600,https://github.com/yangshun/front-end-interview-handbook
joshbuchea,HEAD,29000,https://github.com/joshbuchea/HEAD
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
sentsin,layui,25700,https://github.com/sentsin/layui
tabler,tabler,24900,https://github.com/tabler/tabler
cheeriojs,cheerio,24700,https://github.com/cheeriojs/cheerio
pure-css,pure,22200,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,21900,https://github.com/mdbootstrap/mdb-ui-kit
usablica,intro.js,20900,https://github.com/usablica/intro.js
ColorlibHQ,gentelella,20400,https://github.com/ColorlibHQ/gentelella
haizlin,fe-interview,19900,https://github.com/haizlin/fe-interview
qianguyihao,Web,18500,https://github.com/qianguyihao/Web
jsdom,jsdom,16900,https://github.com/jsdom/jsdom
processing,p5.js,16800,https://github.com/processing/p5.js
twbs,ratchet,14500,https://github.com/twbs/ratchet
nhn,tui.editor,14200,https://github.com/nhn/tui.editor
thedaviddias,Front-End-Performance-Checklist,14000,https://github.com/thedaviddias/Front-End-Performance-Checklist
aframevr,aframe,13700,https://github.com/aframevr/aframe
