username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,340000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,220000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,140000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,128000,https://github.com/TheAlgorithms/Python
axios,axios,90800,https://github.com/axios/axios
mui-org,material-ui,74800,https://github.com/mui-org/material-ui
avelino,awesome-go,74600,https://github.com/avelino/awesome-go
iluwatar,java-design-patterns,72800,https://github.com/iluwatar/java-design-patterns
huggingface,transformers,57500,https://github.com/huggingface/transformers
gohugoio,hugo,56700,https://github.com/gohugoio/hugo
chartjs,Chart.js,56000,https://github.com/chartjs/Chart.js
chrislgarry,Apollo-11,52400,https://github.com/chrislgarry/Apollo-11
ansible,ansible,52000,https://github.com/ansible/ansible
home-assistant,core,49300,https://github.com/home-assistant/core
florinpop17,app-ideas,47600,https://github.com/florinpop17/app-ideas
grafana,grafana,46800,https://github.com/grafana/grafana
leonardomso,33-js-concepts,46300,https://github.com/leonardomso/33-js-concepts
sdmg15,Best-websites-a-programmer-should-visit,45600,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
TheAlgorithms,Java,44100,https://github.com/TheAlgorithms/Java
tesseract-ocr,tesseract,43700,https://github.com/tesseract-ocr/tesseract
meteor,meteor,42800,https://github.com/meteor/meteor
strapi,strapi,42800,https://github.com/strapi/strapi
scrapy,scrapy,42700,https://github.com/scrapy/scrapy
git,git,40900,https://github.com/git/git
prometheus,prometheus,40800,https://github.com/prometheus/prometheus
microsoft,Web-Dev-For-Beginners,40200,https://github.com/microsoft/Web-Dev-For-Beginners
TryGhost,Ghost,39500,https://github.com/TryGhost/Ghost
x64dbg,x64dbg,38000,https://github.com/x64dbg/x64dbg
DefinitelyTyped,DefinitelyTyped,37600,https://github.com/DefinitelyTyped/DefinitelyTyped
tldr-pages,tldr,37100,https://github.com/tldr-pages/tldr
