username,repo_name,stars,repo_url
Homebrew,brew,30800,https://github.com/Homebrew/brew
github,hub,21500,https://github.com/github/hub
Homebrew,homebrew-cask,18900,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,10700,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,9500,https://github.com/goreleaser/goreleaser
mas-cli,mas,8700,https://github.com/mas-cli/mas
Caldis,Mos,8100,https://github.com/Caldis/Mos
diasurgical,devilutionX,5100,https://github.com/diasurgical/devilutionX
geerlingguy,mac-dev-playbook,4300,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4000,https://github.com/Homebrew/homebrew-bundle
paulirish,dotfiles,3900,https://github.com/paulirish/dotfiles
mock-server,mockserver,3500,https://github.com/mock-server/mockserver
whalebrew,whalebrew,3400,https://github.com/whalebrew/whalebrew
LumaTeam,Luma3DS,3300,https://github.com/LumaTeam/Luma3DS
cointop-sh,cointop,3000,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
nicknisi,dotfiles,2300,https://github.com/nicknisi/dotfiles
Homebrew,homebrew-cask-fonts,2200,https://github.com/Homebrew/homebrew-cask-fonts
AtlasNX,Kosmos,2200,https://github.com/AtlasNX/Kosmos
XorTroll,Goldleaf,2100,https://github.com/XorTroll/Goldleaf
MikeMcQuaid,strap,1800,https://github.com/MikeMcQuaid/strap
AdoptOpenJDK,homebrew-openjdk,1800,https://github.com/AdoptOpenJDK/homebrew-openjdk
minamarkham,formation,1700,https://github.com/minamarkham/formation
Homebrew,homebrew-services,1700,https://github.com/Homebrew/homebrew-services
mac-cleanup,mac-cleanup-sh,1500,https://github.com/mac-cleanup/mac-cleanup-sh
driesvints,dotfiles,1500,https://github.com/driesvints/dotfiles
Nonchalant,AppIcon,1500,https://github.com/Nonchalant/AppIcon
bitwarden,cli,1400,https://github.com/bitwarden/cli
kerl,kerl,1400,https://github.com/kerl/kerl
smallhadroncollider,taskell,1300,https://github.com/smallhadroncollider/taskell
