username,repo_name,stars,repo_url
homebridge,homebridge,19400,https://github.com/homebridge/homebridge
oznu,homebridge-config-ui-x,2000,https://github.com/oznu/homebridge-config-ui-x
oznu,docker-homebridge,1900,https://github.com/oznu/docker-homebridge
YinHangCode,homebridge-mi-aqara,1000,https://github.com/YinHangCode/homebridge-mi-aqara
Sunoo,homebridge-camera-ffmpeg,879,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,748,https://github.com/homebridge/homebridge-raspbian-image
hjdhjd,homebridge-unifi-protect,691,https://github.com/hjdhjd/homebridge-unifi-protect
dgreif,ring,665,https://github.com/dgreif/ring
lprhodes,homebridge-broadlink-rm,541,https://github.com/lprhodes/homebridge-broadlink-rm
merdok,homebridge-webos-tv,510,https://github.com/merdok/homebridge-webos-tv
sieren,Homepoint,492,https://github.com/sieren/Homepoint
tavicu,homebridge-samsung-tizen,462,https://github.com/tavicu/homebridge-samsung-tizen
hoobs-org,HOOBS,458,https://github.com/hoobs-org/HOOBS
oznu,homebridge-syno-spk,387,https://github.com/oznu/homebridge-syno-spk
tonesto7,homebridge-smartthings,356,https://github.com/tonesto7/homebridge-smartthings
plasticrake,homebridge-tplink-smarthome,355,https://github.com/plasticrake/homebridge-tplink-smarthome
taligentx,dscKeybusInterface,318,https://github.com/taligentx/dscKeybusInterface
hjdhjd,homebridge-myq,316,https://github.com/hjdhjd/homebridge-myq
homebridge,verified,281,https://github.com/homebridge/verified
oznu,homebridge-gsh,279,https://github.com/oznu/homebridge-gsh
bwp91,homebridge-ewelink,278,https://github.com/bwp91/homebridge-ewelink
seydx,homebridge-camera-ui,270,https://github.com/seydx/homebridge-camera-ui
LASER-Yi,homebridge-mi-acpartner,262,https://github.com/LASER-Yi/homebridge-mi-acpartner
seydx,homebridge-bravia-tvos,252,https://github.com/seydx/homebridge-bravia-tvos
ParadoxAlarmInterface,pai,225,https://github.com/ParadoxAlarmInterface/pai
hannseman,homebridge-mi-hygrothermograph,222,https://github.com/hannseman/homebridge-mi-hygrothermograph
naofireblade,homebridge-weather-plus,219,https://github.com/naofireblade/homebridge-weather-plus
alexryd,homebridge-shelly,210,https://github.com/alexryd/homebridge-shelly
nxhack,openwrt-node-packages,201,https://github.com/nxhack/openwrt-node-packages
nicoduj,homebridge-harmony,191,https://github.com/nicoduj/homebridge-harmony
