username,repo_name,stars,repo_url
ipfs,ipfs,20300,https://github.com/ipfs/ipfs
ipfs,go-ipfs,12800,https://github.com/ipfs/go-ipfs
orbitdb,orbit-db,6600,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,6300,https://github.com/ipfs/js-ipfs
berty,berty,5200,https://github.com/berty/berty
ipfs,ipfs-desktop,3900,https://github.com/ipfs/ipfs-desktop
embarklabs,embark,3500,https://github.com/embarklabs/embark
ipfs,awesome-ipfs,3500,https://github.com/ipfs/awesome-ipfs
hoochanlon,fq-book,2400,https://github.com/hoochanlon/fq-book
yjjnls,awesome-blockchain,1800,https://github.com/yjjnls/awesome-blockchain
libp2p,js-libp2p,1700,https://github.com/libp2p/js-libp2p
TeamPiped,Piped,1700,https://github.com/TeamPiped/Piped
graphprotocol,graph-node,1600,https://github.com/graphprotocol/graph-node
orbitdb,orbit,1600,https://github.com/orbitdb/orbit
ipfs,ipfs-companion,1600,https://github.com/ipfs/ipfs-companion
redacademy,vue-ethereum-ipfs,1300,https://github.com/redacademy/vue-ethereum-ipfs
ipfs,ipfs-webui,1200,https://github.com/ipfs/ipfs-webui
ipfspics,ipfspics-server,1100,https://github.com/ipfspics/ipfspics-server
DimensionDev,Maskbook,1100,https://github.com/DimensionDev/Maskbook
qri-io,qri,1100,https://github.com/qri-io/qri
Peergos,Peergos,1000,https://github.com/Peergos/Peergos
OpenBazaar,openbazaar-go,968,https://github.com/OpenBazaar/openbazaar-go
rs-ipfs,rust-ipfs,963,https://github.com/rs-ipfs/rust-ipfs
ipfs-shipyard,ipfs-deploy,933,https://github.com/ipfs-shipyard/ipfs-deploy
FileNation,FileNation,832,https://github.com/FileNation/FileNation
dennis-tra,pcp,823,https://github.com/dennis-tra/pcp
IceFireDB,IceFireDB,724,https://github.com/IceFireDB/IceFireDB
dtube,dtube,696,https://github.com/dtube/dtube
ipfs-search,ipfs-search,649,https://github.com/ipfs-search/ipfs-search
icidasset,diffuse,623,https://github.com/icidasset/diffuse
