username,repo_name,stars,repo_url
ryanoasis,nerd-fonts,32800,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,10200,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8100,https://github.com/akveo/eva-icons
mikepenz,Android-Iconics,4900,https://github.com/mikepenz/Android-Iconics
ecomfe,fontmin,4500,https://github.com/ecomfe/fontmin
Remix-Design,RemixIcon,4100,https://github.com/Remix-Design/RemixIcon
refscn,rplibs,2600,https://github.com/refscn/rplibs
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
coreui,coreui-icons,1800,https://github.com/coreui/coreui-icons
atisawd,boxicons,1700,https://github.com/atisawd/boxicons
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
phosphor-icons,phosphor-home,1100,https://github.com/phosphor-icons/phosphor-home
ForkAwesome,Fork-Awesome,1000,https://github.com/ForkAwesome/Fork-Awesome
leungwensen,svg-icon,935,https://github.com/leungwensen/svg-icon
brabadu,awesome-fonts,901,https://github.com/brabadu/awesome-fonts
vkarampinis,awesome-icons,886,https://github.com/vkarampinis/awesome-icons
pfefferle,openwebicons,844,https://github.com/pfefferle/openwebicons
juliettef,IconFontCppHeaders,635,https://github.com/juliettef/IconFontCppHeaders
jpswalsh,academicons,613,https://github.com/jpswalsh/academicons
kenangundogan,fontisto,459,https://github.com/kenangundogan/fontisto
thomaspark,glyphsearch,454,https://github.com/thomaspark/glyphsearch
lvwzhen,iconpark,354,https://github.com/lvwzhen/iconpark
victor-valencia,bootstrap-iconpicker,354,https://github.com/victor-valencia/bootstrap-iconpicker
PrestaShop,prestashop-icon-font,314,https://github.com/PrestaShop/prestashop-icon-font
andrewgioia,keyrune,313,https://github.com/andrewgioia/keyrune
lukas-w,font-logos,303,https://github.com/lukas-w/font-logos
ccforward,rubik,277,https://github.com/ccforward/rubik
jaywcjlove,svgtofont,221,https://github.com/jaywcjlove/svgtofont
pluwen,awesome-iconjar,211,https://github.com/pluwen/awesome-iconjar
