username,repo_name,stars,repo_url
CyC2018,CS-Notes,145000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,116000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,72800,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,59700,https://github.com/doocs/advanced-java
spring-projects,spring-boot,59400,https://github.com/spring-projects/spring-boot
elastic,elasticsearch,58300,https://github.com/elastic/elasticsearch
kdn251,interviews,55900,https://github.com/kdn251/interviews
macrozheng,mall,55700,https://github.com/macrozheng/mall
azl397985856,leetcode,46300,https://github.com/azl397985856/leetcode
ReactiveX,RxJava,45700,https://github.com/ReactiveX/RxJava
TheAlgorithms,Java,44100,https://github.com/TheAlgorithms/Java
google,guava,43500,https://github.com/google/guava
square,okhttp,41500,https://github.com/square/okhttp
square,retrofit,39400,https://github.com/square/retrofit
PhilJay,MPAndroidChart,34600,https://github.com/PhilJay/MPAndroidChart
apache,spark,31900,https://github.com/apache/spark
AobingJava,JavaFamily,29100,https://github.com/AobingJava/JavaFamily
zxing,zxing,29000,https://github.com/zxing/zxing
skylot,jadx,28900,https://github.com/skylot/jadx
alibaba,arthas,28300,https://github.com/alibaba/arthas
jeecgboot,jeecg-boot,27500,https://github.com/jeecgboot/jeecg-boot
square,leakcanary,27200,https://github.com/square/leakcanary
ityouknow,spring-boot-examples,27000,https://github.com/ityouknow/spring-boot-examples
crossoverJie,JCSprout,26600,https://github.com/crossoverJie/JCSprout
Wechat-Group,WxJava,24700,https://github.com/Wechat-Group/WxJava
xkcoding,spring-boot-demo,24600,https://github.com/xkcoding/spring-boot-demo
dbeaver,dbeaver,24300,https://github.com/dbeaver/dbeaver
alibaba,fastjson,24100,https://github.com/alibaba/fastjson
SeleniumHQ,selenium,22700,https://github.com/SeleniumHQ/selenium
alibaba,easyexcel,22500,https://github.com/alibaba/easyexcel
