username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,340000,https://github.com/freeCodeCamp/freeCodeCamp
vuejs,vue,193000,https://github.com/vuejs/vue
facebook,react,182000,https://github.com/facebook/react
twbs,bootstrap,155000,https://github.com/twbs/bootstrap
getify,You-Dont-Know-JS,149000,https://github.com/getify/You-Dont-Know-JS
trekhleb,javascript-algorithms,134000,https://github.com/trekhleb/javascript-algorithms
airbnb,javascript,119000,https://github.com/airbnb/javascript
electron,electron,100000,https://github.com/electron/electron
30-seconds,30-seconds-of-code,91600,https://github.com/30-seconds/30-seconds-of-code
axios,axios,90800,https://github.com/axios/axios
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,84700,https://github.com/nodejs/node
denoland,deno,80100,https://github.com/denoland/deno
angular,angular,79300,https://github.com/angular/angular
mrdoob,three.js,78500,https://github.com/mrdoob/three.js
microsoft,TypeScript,77600,https://github.com/microsoft/TypeScript
mui-org,material-ui,74800,https://github.com/mui-org/material-ui
goldbergyoni,nodebestpractices,74200,https://github.com/goldbergyoni/nodebestpractices
storybookjs,storybook,68500,https://github.com/storybookjs/storybook
ryanmcdermott,clean-code-javascript,63300,https://github.com/ryanmcdermott/clean-code-javascript
practical-tutorials,project-based-learning,62000,https://github.com/practical-tutorials/project-based-learning
webpack,webpack,60300,https://github.com/webpack/webpack
thedaviddias,Front-End-Checklist,57900,https://github.com/thedaviddias/Front-End-Checklist
atom,atom,56700,https://github.com/atom/atom
chartjs,Chart.js,56000,https://github.com/chartjs/Chart.js
expressjs,express,55800,https://github.com/expressjs/express
h5bp,html5-boilerplate,52200,https://github.com/h5bp/html5-boilerplate
lodash,lodash,52000,https://github.com/lodash/lodash
ElemeFE,element,51600,https://github.com/ElemeFE/element
leonardomso,33-js-concepts,46300,https://github.com/leonardomso/33-js-concepts
