username,repo_name,stars,repo_url
jekyll,jekyll,44000,https://github.com/jekyll/jekyll
tabler,tabler,24900,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,9200,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7100,https://github.com/primer/octicons
mqtt,mqtt.org,4800,https://github.com/mqtt/mqtt.org
pmarsceill,just-the-docs,3900,https://github.com/pmarsceill/just-the-docs
daattali,beautiful-jekyll,3900,https://github.com/daattali/beautiful-jekyll
poole,hyde,3300,https://github.com/poole/hyde
fastai,fastpages,3000,https://github.com/fastai/fastpages
poole,lanyon,3000,https://github.com/poole/lanyon
github,choosealicense.com,2700,https://github.com/github/choosealicense.com
poole,poole,2700,https://github.com/poole/poole
jekyll,jekyll-admin,2500,https://github.com/jekyll/jekyll-admin
alshedivat,al-folio,2500,https://github.com/alshedivat/al-folio
jekyll,minima,2500,https://github.com/jekyll/minima
home-assistant,home-assistant.io,2500,https://github.com/home-assistant/home-assistant.io
sergiokopplin,indigo,2200,https://github.com/sergiokopplin/indigo
kitian616,jekyll-TeXt-theme,2200,https://github.com/kitian616/jekyll-TeXt-theme
TaylanTatli,Moon,2100,https://github.com/TaylanTatli/Moon
eduardoboucas,staticman,2100,https://github.com/eduardoboucas/staticman
maxvoltar,photo-stream,1800,https://github.com/maxvoltar/photo-stream
mmistakes,so-simple-theme,1700,https://github.com/mmistakes/so-simple-theme
Gaohaoyang,gaohaoyang.github.io,1700,https://github.com/Gaohaoyang/gaohaoyang.github.io
github,pages-gem,1700,https://github.com/github/pages-gem
jglovier,gifs,1600,https://github.com/jglovier/gifs
jglovier,resume-template,1400,https://github.com/jglovier/resume-template
jekyll,jekyll-seo-tag,1400,https://github.com/jekyll/jekyll-seo-tag
dtinth,comic-mono-font,1300,https://github.com/dtinth/comic-mono-font
christian-fei,Simple-Jekyll-Search,1200,https://github.com/christian-fei/Simple-Jekyll-Search
jeromelachaud,freelancer-theme,1200,https://github.com/jeromelachaud/freelancer-theme
