username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,32400,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,24100,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,24000,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,18800,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,17000,https://github.com/MLEveryday/100-Days-Of-ML-Code
emilwallner,Screenshot-to-code,13600,https://github.com/emilwallner/Screenshot-to-code
microsoft,recommenders,12100,https://github.com/microsoft/recommenders
plotly,plotly.py,10900,https://github.com/plotly/plotly.py
hangtwenty,dive-into-machine-learning,10900,https://github.com/hangtwenty/dive-into-machine-learning
chenyuntc,pytorch-book,9700,https://github.com/chenyuntc/pytorch-book
dunovank,jupyter-themes,8900,https://github.com/dunovank/jupyter-themes
jupyter,notebook,8800,https://github.com/jupyter/notebook
pandas-profiling,pandas-profiling,8400,https://github.com/pandas-profiling/pandas-profiling
microsoft,computervision-recipes,8300,https://github.com/microsoft/computervision-recipes
marceloprates,prettymaps,7700,https://github.com/marceloprates/prettymaps
jupyterhub,jupyterhub,6600,https://github.com/jupyterhub/jupyterhub
aws,amazon-sagemaker-examples,6500,https://github.com/aws/amazon-sagemaker-examples
jupyter,docker-stacks,6500,https://github.com/jupyter/docker-stacks
firmai,industry-machine-learning,6100,https://github.com/firmai/industry-machine-learning
nteract,nteract,5700,https://github.com/nteract/nteract
Atcold,pytorch-Deep-Learning,5700,https://github.com/Atcold/pytorch-Deep-Learning
mwouts,jupytext,5200,https://github.com/mwouts/jupytext
jerry-git,learn-python3,4500,https://github.com/jerry-git/learn-python3
codebasics,py,4400,https://github.com/codebasics/py
tensorflow,lucid,4400,https://github.com/tensorflow/lucid
BrambleXu,pydata-notebook,4300,https://github.com/BrambleXu/pydata-notebook
voila-dashboards,voila,3900,https://github.com/voila-dashboards/voila
IntelLabs,distiller,3800,https://github.com/IntelLabs/distiller
TrickyGo,Dive-into-DL-TensorFlow2.0,3400,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
justmarkham,scikit-learn-videos,3300,https://github.com/justmarkham/scikit-learn-videos
