username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,86700,https://github.com/justjavac/free-programming-books-zh_CN
square,okhttp,41500,https://github.com/square/okhttp
JetBrains,kotlin,40000,https://github.com/JetBrains/kotlin
square,leakcanary,27200,https://github.com/square/leakcanary
google,iosched,21100,https://github.com/google/iosched
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
tipsy,profile-summary-for-github,19500,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19200,https://github.com/afollestad/material-dialogs
Kotlin,anko,15900,https://github.com/Kotlin/anko
tachiyomiorg,tachiyomi,14600,https://github.com/tachiyomiorg/tachiyomi
Tencent,MMKV,14100,https://github.com/Tencent/MMKV
wasabeef,recyclerview-animators,11000,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,10900,https://github.com/permissions-dispatcher/PermissionsDispatcher
Kotlin,kotlinx.coroutines,10300,https://github.com/Kotlin/kotlinx.coroutines
gyf-dev,ImmersionBar,10100,https://github.com/gyf-dev/ImmersionBar
KotlinBy,awesome-kotlin,9700,https://github.com/KotlinBy/awesome-kotlin
wasabeef,glide-transformations,9600,https://github.com/wasabeef/glide-transformations
ktorio,ktor,9400,https://github.com/ktorio/ktor
mamoe,mirai,8400,https://github.com/mamoe/mirai
JetBrains,compose-jb,8100,https://github.com/JetBrains/compose-jb
square,okio,7900,https://github.com/square/okio
coil-kt,coil,7700,https://github.com/coil-kt/coil
quicktype,quicktype,7600,https://github.com/quicktype/quicktype
android,android-ktx,7500,https://github.com/android/android-ktx
InsertKoinIO,koin,7200,https://github.com/InsertKoinIO/koin
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
google,android-classyshark,6900,https://github.com/google/android-classyshark
ReactiveX,RxKotlin,6800,https://github.com/ReactiveX/RxKotlin
sourcerer-io,sourcerer-app,6700,https://github.com/sourcerer-io/sourcerer-app
zetbaitsu,Compressor,6300,https://github.com/zetbaitsu/Compressor
