username,repo_name,stars,repo_url
kubernetes,kubernetes,85000,https://github.com/kubernetes/kubernetes
netdata,netdata,57500,https://github.com/netdata/netdata
etcd-io,etcd,38700,https://github.com/etcd-io/etcd
traefik,traefik,36600,https://github.com/traefik/traefik
Kong,kong,31100,https://github.com/Kong/kong
istio,istio,29400,https://github.com/istio/istio
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
hashicorp,consul,24200,https://github.com/hashicorp/consul
kubernetes,minikube,23100,https://github.com/kubernetes/minikube
dokku,dokku,22300,https://github.com/dokku/dokku
alibaba,nacos,21200,https://github.com/alibaba/nacos
helm,helm,21000,https://github.com/helm/helm
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
openfaas,faas,21000,https://github.com/openfaas/faas
portainer,portainer,20800,https://github.com/portainer/portainer
yeasy,docker_practice,19900,https://github.com/yeasy/docker_practice
jhipster,generator-jhipster,19300,https://github.com/jhipster/generator-jhipster
k3s-io,k3s,19000,https://github.com/k3s-io/k3s
rancher,rancher,18400,https://github.com/rancher/rancher
lensapp,lens,16900,https://github.com/lensapp/lens
dapr,dapr,16800,https://github.com/dapr/dapr
helm,charts,15400,https://github.com/helm/charts
derailed,k9s,15100,https://github.com/derailed/k9s
chrislusf,seaweedfs,13800,https://github.com/chrislusf/seaweedfs
kubernetes,kops,13700,https://github.com/kubernetes/kops
vitessio,vitess,13300,https://github.com/vitessio/vitess
eip-work,kuboard-press,13200,https://github.com/eip-work/kuboard-press
verdaccio,verdaccio,12900,https://github.com/verdaccio/verdaccio
GoogleContainerTools,skaffold,12400,https://github.com/GoogleContainerTools/skaffold
ramitsurana,awesome-kubernetes,12400,https://github.com/ramitsurana/awesome-kubernetes
