username,repo_name,stars,repo_url
marktext,marktext,28700,https://github.com/marktext/marktext
HarisIqbal88,PlotNeuralNet,16000,https://github.com/HarisIqbal88/PlotNeuralNet
posquit0,Awesome-CV,15300,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,14800,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,9200,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,8600,https://github.com/mathjax/MathJax
billryan,resume,5000,https://github.com/billryan/resume
Wandmalfarbe,pandoc-latex-template,3800,https://github.com/Wandmalfarbe/pandoc-latex-template
lervag,vimtex,3700,https://github.com/lervag/vimtex
tuna,thuthesis,3300,https://github.com/tuna/thuthesis
Wookai,paper-tips-and-tricks,3100,https://github.com/Wookai/paper-tips-and-tricks
luong-komorebi,Begin-Latex-in-minutes,3100,https://github.com/luong-komorebi/Begin-Latex-in-minutes
garrettj403,SciencePlots,3100,https://github.com/garrettj403/SciencePlots
rstudio,bookdown,2800,https://github.com/rstudio/bookdown
sb2nov,resume,2700,https://github.com/sb2nov/resume
google-research,arxiv-latex-cleaner,2700,https://github.com/google-research/arxiv-latex-cleaner
IceEnd,Yosoro,2600,https://github.com/IceEnd/Yosoro
JabRef,jabref,2400,https://github.com/JabRef/jabref
retorquere,zotero-better-bibtex,2400,https://github.com/retorquere/zotero-better-bibtex
sjtug,SJTUThesis,2400,https://github.com/sjtug/SJTUThesis
saadq,resumake.io,2300,https://github.com/saadq/resumake.io
vincentdoerig,latex-css,2300,https://github.com/vincentdoerig/latex-css
noraj,OSCP-Exam-Report-Template-Markdown,2100,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
susam,texme,2000,https://github.com/susam/texme
varkor,quiver,1800,https://github.com/varkor/quiver
Hedgehog-Computing,hedgehog-lab,1800,https://github.com/Hedgehog-Computing/hedgehog-lab
dyweb,awesome-resume-for-chinese,1800,https://github.com/dyweb/awesome-resume-for-chinese
nschloe,tikzplotlib,1700,https://github.com/nschloe/tikzplotlib
SwiftLaTeX,SwiftLaTeX,1700,https://github.com/SwiftLaTeX/SwiftLaTeX
Keldos-Li,typora-latex-theme,1600,https://github.com/Keldos-Li/typora-latex-theme
