username,repo_name,stars,repo_url
laravel,laravel,68100,https://github.com/laravel/laravel
laravel,framework,26000,https://github.com/laravel/framework
kataras,iris,21800,https://github.com/kataras/iris
monicahq,monica,15700,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,13600,https://github.com/barryvdh/laravel-debugbar
koel,koel,13200,https://github.com/koel/koel
CachetHQ,Cachet,12500,https://github.com/CachetHQ/Cachet
Intervention,image,12400,https://github.com/Intervention/image
flarum,flarum,12300,https://github.com/flarum/flarum
barryvdh,laravel-ide-helper,12000,https://github.com/barryvdh/laravel-ide-helper
roots,sage,11600,https://github.com/roots/sage
the-control-group,voyager,10900,https://github.com/the-control-group/voyager
octobercms,october,10800,https://github.com/octobercms/october
chiraggude,awesome-laravel,10700,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,10500,https://github.com/SpartnerNL/Laravel-Excel
tymondesigns,jwt-auth,10400,https://github.com/tymondesigns/jwt-auth
spatie,laravel-permission,10100,https://github.com/spatie/laravel-permission
BookStackApp,BookStack,8500,https://github.com/BookStackApp/BookStack
guyueyingmu,avbook,8200,https://github.com/guyueyingmu/avbook
laravel,lumen,7500,https://github.com/laravel/lumen
alexeymezenin,laravel-best-practices,7200,https://github.com/alexeymezenin/laravel-best-practices
laravel,tinker,7000,https://github.com/laravel/tinker
Laravel-Lang,lang,6400,https://github.com/Laravel-Lang/lang
invoiceninja,invoiceninja,6300,https://github.com/invoiceninja/invoiceninja
jenssegers,laravel-mongodb,5900,https://github.com/jenssegers/laravel-mongodb
crater-invoice,crater,5500,https://github.com/crater-invoice/crater
ecrmnn,collect.js,5500,https://github.com/ecrmnn/collect.js
flarum,core,5400,https://github.com/flarum/core
aimeos,aimeos-laravel,5300,https://github.com/aimeos/aimeos-laravel
rappasoft,laravel-boilerplate,5300,https://github.com/rappasoft/laravel-boilerplate
