username,repo_name,stars,repo_url
facebook,react,182000,https://github.com/facebook/react
curl,curl,23500,https://github.com/curl/curl
ccxt,ccxt,23100,https://github.com/ccxt/ccxt
mojs,mojs,17300,https://github.com/mojs/mojs
framework7io,framework7,16600,https://github.com/framework7io/framework7
OpenGenus,cosmos,13000,https://github.com/OpenGenus/cosmos
Ramotion,animated-tab-bar,10900,https://github.com/Ramotion/animated-tab-bar
dgraph-io,badger,10400,https://github.com/dgraph-io/badger
Ramotion,folding-cell,10000,https://github.com/Ramotion/folding-cell
WenchaoD,FSCalendar,9900,https://github.com/WenchaoD/FSCalendar
cdnjs,cdnjs,9300,https://github.com/cdnjs/cdnjs
apache,thrift,8900,https://github.com/apache/thrift
felangel,bloc,8500,https://github.com/felangel/bloc
roughike,BottomBar,8400,https://github.com/roughike/BottomBar
libgit2,libgit2,8300,https://github.com/libgit2/libgit2
XXApple,AndroidLibs,7200,https://github.com/XXApple/AndroidLibs
sbstjn,timesheet.js,6900,https://github.com/sbstjn/timesheet.js
needim,noty,6700,https://github.com/needim/noty
FreeRDP,FreeRDP,6000,https://github.com/FreeRDP/FreeRDP
LonamiWebs,Telethon,6000,https://github.com/LonamiWebs/Telethon
patrickmn,go-cache,5800,https://github.com/patrickmn/go-cache
IntelRealSense,librealsense,5700,https://github.com/IntelRealSense/librealsense
Devlight,InfiniteCycleViewPager,5700,https://github.com/Devlight/InfiniteCycleViewPager
gruns,icecream,5700,https://github.com/gruns/icecream
lpereira,lwan,5500,https://github.com/lpereira/lwan
Ramotion,expanding-collection,5500,https://github.com/Ramotion/expanding-collection
lusaxweb,vuesax,5300,https://github.com/lusaxweb/vuesax
KrauseFx,TSMessages,4900,https://github.com/KrauseFx/TSMessages
Devlight,NavigationTabBar,4900,https://github.com/Devlight/NavigationTabBar
microsoft,FASTER,4900,https://github.com/microsoft/FASTER
