username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,102000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,84700,https://github.com/nodejs/node
trimstray,the-book-of-secret-knowledge,58700,https://github.com/trimstray/the-book-of-secret-knowledge
atom,atom,56700,https://github.com/atom/atom
vercel,hyper,37800,https://github.com/vercel/hyper
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
FiloSottile,mkcert,33500,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,31900,https://github.com/PowerShell/PowerShell
ventoy,Ventoy,30500,https://github.com/ventoy/Ventoy
agalwood,Motrix,29900,https://github.com/agalwood/Motrix
nativefier,nativefier,29700,https://github.com/nativefier/nativefier
sherlock-project,sherlock,29200,https://github.com/sherlock-project/sherlock
marktext,marktext,28700,https://github.com/marktext/marktext
nylas,nylas-mail,24600,https://github.com/nylas/nylas-mail
0xAX,linux-insides,24100,https://github.com/0xAX/linux-insides
matteocrippa,awesome-swift,21600,https://github.com/matteocrippa/awesome-swift
bregman-arie,devops-exercises,21000,https://github.com/bregman-arie/devops-exercises
yeasy,docker_practice,19900,https://github.com/yeasy/docker_practice
libgdx,libgdx,19600,https://github.com/libgdx/libgdx
notable,notable,19100,https://github.com/notable/notable
jaywcjlove,linux-command,17800,https://github.com/jaywcjlove/linux-command
BoostIO,BoostNote-Legacy,17400,https://github.com/BoostIO/BoostNote-Legacy
Swordfish90,cool-retro-term,15700,https://github.com/Swordfish90/cool-retro-term
qier222,YesPlayMusic,14400,https://github.com/qier222/YesPlayMusic
kivy,kivy,14300,https://github.com/kivy/kivy
geeeeeeeeek,electronic-wechat,13900,https://github.com/geeeeeeeeek/electronic-wechat
xbmc,xbmc,13400,https://github.com/xbmc/xbmc
txthinking,brook,12800,https://github.com/txthinking/brook
itdevbooks,pdf,12700,https://github.com/itdevbooks/pdf
