username,repo_name,stars,repo_url
AtsushiSakai,PythonRobotics,14300,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,12900,https://github.com/formatjs/formatjs
frappe,erpnext,10500,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,7700,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,6600,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,5800,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3300,https://github.com/lingui/js-lingui
WeblateOrg,weblate,2800,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2700,https://github.com/jeremykenedy/laravel-auth
github,time-elements,2300,https://github.com/github/time-elements
introlab,rtabmap,1700,https://github.com/introlab/rtabmap
ever-co,ever-traduora,1600,https://github.com/ever-co/ever-traduora
vinissimus,next-translate,1400,https://github.com/vinissimus/next-translate
willpowell8,LocalizationKit_iOS,1200,https://github.com/willpowell8/LocalizationKit_iOS
igorkulman,iOSLocalizationEditor,1200,https://github.com/igorkulman/iOSLocalizationEditor
overtrue,laravel-lang,1200,https://github.com/overtrue/laravel-lang
Flinesoft,BartyCrouch,1100,https://github.com/Flinesoft/BartyCrouch
mozilla,pontoon,1100,https://github.com/mozilla/pontoon
vovgou,loxodon-framework,1100,https://github.com/vovgou/loxodon-framework
projectfluent,fluent,969,https://github.com/projectfluent/fluent
onlytailei,CppRobotics,967,https://github.com/onlytailei/CppRobotics
parrot-translate,parrot,967,https://github.com/parrot-translate/parrot
MIT-SPARK,Kimera-VIO,938,https://github.com/MIT-SPARK/Kimera-VIO
axuno,SmartFormat,800,https://github.com/axuno/SmartFormat
koala-interactive,frenchkiss.js,780,https://github.com/koala-interactive/frenchkiss.js
ivanhofer,typesafe-i18n,755,https://github.com/ivanhofer/typesafe-i18n
shioyama,mobility,755,https://github.com/shioyama/mobility
projectfluent,fluent.js,708,https://github.com/projectfluent/fluent.js
translate,translate,665,https://github.com/translate/translate
workalendar,workalendar,659,https://github.com/workalendar/workalendar
