username,repo_name,stars,repo_url
neovim,neovim,50400,https://github.com/neovim/neovim
coolsnowwolf,lede,19700,https://github.com/coolsnowwolf/lede
cocos2d,cocos2d-x,15800,https://github.com/cocos2d/cocos2d-x
lionsoul2014,ip2region,9900,https://github.com/lionsoul2014/ip2region
spotify,annoy,9400,https://github.com/spotify/annoy
codota,TabNine,9000,https://github.com/codota/TabNine
Hammerspoon,hammerspoon,8700,https://github.com/Hammerspoon/hammerspoon
apache,apisix,8300,https://github.com/apache/apisix
lk-geimfari,awesomo,8300,https://github.com/lk-geimfari/awesomo
NvChad,NvChad,7800,https://github.com/NvChad/NvChad
Tencent,xLua,7300,https://github.com/Tencent/xLua
LunarVim,LunarVim,7100,https://github.com/LunarVim/LunarVim
nodemcu,nodemcu-firmware,6900,https://github.com/nodemcu/nodemcu-firmware
minetest,minetest,6600,https://github.com/minetest/minetest
nmap,nmap,5900,https://github.com/nmap/nmap
brndnmtthws,conky,5200,https://github.com/brndnmtthws/conky
nvim-telescope,telescope.nvim,4800,https://github.com/nvim-telescope/telescope.nvim
yuin,gopher-lua,4600,https://github.com/yuin/gopher-lua
awesomeWM,awesome,4400,https://github.com/awesomeWM/awesome
xmake-io,xmake,4400,https://github.com/xmake-io/xmake
akopytov,sysbench,4300,https://github.com/akopytov/sysbench
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
urho3d,Urho3D,3800,https://github.com/urho3d/Urho3D
martanne,vis,3700,https://github.com/martanne/vis
alibaba,LuaViewSDK,3600,https://github.com/alibaba/LuaViewSDK
luvit,luvit,3500,https://github.com/luvit/luvit
turanszkij,WickedEngine,3300,https://github.com/turanszkij/WickedEngine
a327ex,blog,3100,https://github.com/a327ex/blog
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3000,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
fcambus,nginx-resources,3000,https://github.com/fcambus/nginx-resources
