username,repo_name,stars,repo_url
PRML,PRMLT,5400,https://github.com/PRML/PRMLT
ZheC,Realtime_Multi-Person_Pose_Estimation,4800,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
flybywiresim,a32nx,3900,https://github.com/flybywiresim/a32nx
zhanwen,MathModel,3900,https://github.com/zhanwen/MathModel
Chakazul,Lenia,2800,https://github.com/Chakazul/Lenia
19PDP,Bilibili-plus,2000,https://github.com/19PDP/Bilibili-plus
kaxap,arl,1600,https://github.com/kaxap/arl
HuangCongQing,Algorithms_MathModels,1300,https://github.com/HuangCongQing/Algorithms_MathModels
matlab2tikz,matlab2tikz,1200,https://github.com/matlab2tikz/matlab2tikz
bytefish,facerec,936,https://github.com/bytefish/facerec
casadi,casadi,901,https://github.com/casadi/casadi
pptacher,probabilistic_robotics,865,https://github.com/pptacher/probabilistic_robotics
analyticalmonk,awesome-neuroscience,856,https://github.com/analyticalmonk/awesome-neuroscience
scottclowe,matlab-schemer,845,https://github.com/scottclowe/matlab-schemer
JalaliLabUCLA,Image-feature-detection-using-Phase-Stretch-Transform,820,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
petercorke,robotics-toolbox-matlab,777,https://github.com/petercorke/robotics-toolbox-matlab
trekhleb,machine-learning-octave,709,https://github.com/trekhleb/machine-learning-octave
andrewssobral,lrslibrary,678,https://github.com/andrewssobral/lrslibrary
BIMK,PlatEMO,649,https://github.com/BIMK/PlatEMO
piermorel,gramm,609,https://github.com/piermorel/gramm
fieldtrip,fieldtrip,592,https://github.com/fieldtrip/fieldtrip
oneTaken,awesome_deep_learning_interpretability,534,https://github.com/oneTaken/awesome_deep_learning_interpretability
DrTimothyAldenDavis,SuiteSparse,526,https://github.com/DrTimothyAldenDavis/SuiteSparse
JSBSim-Team,jsbsim,491,https://github.com/JSBSim-Team/jsbsim
benfulcher,hctsa,487,https://github.com/benfulcher/hctsa
personqianduixue,Math_Model,465,https://github.com/personqianduixue/Math_Model
MinZHANG-WHU,Change-Detection-Review,464,https://github.com/MinZHANG-WHU/Change-Detection-Review
GuoShi28,CBDNet,417,https://github.com/GuoShi28/CBDNet
AtsushiSakai,MATLABRobotics,408,https://github.com/AtsushiSakai/MATLABRobotics
conradsnicta,armadillo-code,400,https://github.com/conradsnicta/armadillo-code
