username,repo_name,stars,repo_url
tensorflow,tensorflow,163000,https://github.com/tensorflow/tensorflow
huggingface,transformers,57500,https://github.com/huggingface/transformers
keras-team,keras,53800,https://github.com/keras-team/keras
pytorch,pytorch,53700,https://github.com/pytorch/pytorch
scikit-learn,scikit-learn,48800,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,43700,https://github.com/tesseract-ocr/tesseract
ageitgey,face_recognition,43000,https://github.com/ageitgey/face_recognition
aymericdamien,TensorFlow-Examples,41600,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,40200,https://github.com/deepfakes/faceswap
JuliaLang,julia,38000,https://github.com/JuliaLang/julia
binhnguyennus,awesome-scalability,37200,https://github.com/binhnguyennus/awesome-scalability
Avik-Jain,100-Days-Of-ML-Code,34400,https://github.com/Avik-Jain/100-Days-Of-ML-Code
BVLC,caffe,32200,https://github.com/BVLC/caffe
iperov,DeepFaceLab,31000,https://github.com/iperov/DeepFaceLab
d2l-ai,d2l-zh,30000,https://github.com/d2l-ai/d2l-zh
GokuMohandas,MadeWithML,29500,https://github.com/GokuMohandas/MadeWithML
Developer-Y,cs-video-courses,29400,https://github.com/Developer-Y/cs-video-courses
microsoft,ML-For-Beginners,28900,https://github.com/microsoft/ML-For-Beginners
ZuzooVn,machine-learning-for-software-engineers,25600,https://github.com/ZuzooVn/machine-learning-for-software-engineers
fengdu78,Coursera-ML-AndrewNg-Notes,24000,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
ageron,handson-ml,24000,https://github.com/ageron/handson-ml
terryum,awesome-deep-learning-papers,23500,https://github.com/terryum/awesome-deep-learning-papers
CMU-Perceptual-Computing-Lab,openpose,23200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
donnemartin,data-science-ipython-notebooks,22400,https://github.com/donnemartin/data-science-ipython-notebooks
explosion,spaCy,22300,https://github.com/explosion/spaCy
dmlc,xgboost,22200,https://github.com/dmlc/xgboost
fastai,fastai,21900,https://github.com/fastai/fastai
google-research,google-research,21700,https://github.com/google-research/google-research
ultralytics,yolov5,21700,https://github.com/ultralytics/yolov5
eriklindernoren,ML-From-Scratch,20800,https://github.com/eriklindernoren/ML-From-Scratch
