username,repo_name,stars,repo_url
mastodon,mastodon,26400,https://github.com/mastodon/mastodon
TwidereProject,Twidere-Android,2500,https://github.com/TwidereProject/Twidere-Android
mastodon,documentation,1400,https://github.com/mastodon/documentation
tuskyapp,Tusky,1200,https://github.com/tuskyapp/Tusky
nolanlawson,pinafore,612,https://github.com/nolanlawson/pinafore
h3poteto,whalebird-desktop,571,https://github.com/h3poteto/whalebird-desktop
ihabunek,toot,506,https://github.com/ihabunek/toot
kha7iq,pingme,499,https://github.com/kha7iq/pingme
rustodon,rustodon,472,https://github.com/rustodon/rustodon
Aardwolf-Social,aardwolf,414,https://github.com/Aardwolf-Social/aardwolf
Wonderfall,dockerfiles,391,https://github.com/Wonderfall/dockerfiles
rhysd,Mstdn,389,https://github.com/rhysd/Mstdn
renatolond,mastodon-twitter-poster,379,https://github.com/renatolond/mastodon-twitter-poster
tleb,awesome-mastodon,376,https://github.com/tleb/awesome-mastodon
superseriousbusiness,gotosocial,360,https://github.com/superseriousbusiness/gotosocial
bleakgrey,tootle,355,https://github.com/bleakgrey/tootle
nextcloud,social,336,https://github.com/nextcloud/social
mattn,go-mastodon,330,https://github.com/mattn/go-mastodon
ethibox,awesome-stacks,265,https://github.com/ethibox/awesome-stacks
norweeg,self-hosted-docker-server-templates,263,https://github.com/norweeg/self-hosted-docker-server-templates
FedStoa,moa,252,https://github.com/FedStoa/moa
magicalraccoon,tootstream,236,https://github.com/magicalraccoon/tootstream
wabarc,wayback,193,https://github.com/wabarc/wayback
NicolasConstant,sengi,182,https://github.com/NicolasConstant/sengi
yogthos,mastodon-bot,168,https://github.com/yogthos/mastodon-bot
joyeusenoelle,GuideToMastodon,167,https://github.com/joyeusenoelle/GuideToMastodon
mooseyboots,mastodon.el,154,https://github.com/mooseyboots/mastodon.el
hyperspacedev,hyperspace,150,https://github.com/hyperspacedev/hyperspace
cutls,TheDesk,148,https://github.com/cutls/TheDesk
pfefferle,wordpress-activitypub,147,https://github.com/pfefferle/wordpress-activitypub
