username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
mui-org,material-ui,74800,https://github.com/mui-org/material-ui
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
google,material-design-icons,44900,https://github.com/google/material-design-icons
Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
vuetifyjs,vuetify,33400,https://github.com/vuetifyjs/vuetify
google,material-design-lite,32000,https://github.com/google/material-design-lite
angular,components,22400,https://github.com/angular/components
mdbootstrap,mdb-ui-kit,21900,https://github.com/mdbootstrap/mdb-ui-kit
HeroTransitions,Hero,20600,https://github.com/HeroTransitions/Hero
quasarframework,quasar,20400,https://github.com/quasarframework/quasar
afollestad,material-dialogs,19200,https://github.com/afollestad/material-dialogs
angular,material,16800,https://github.com/angular/material
framework7io,framework7,16600,https://github.com/framework7io/framework7
iampawan,FlutterExampleApps,16200,https://github.com/iampawan/FlutterExampleApps
material-components,material-components-web,16000,https://github.com/material-components/material-components-web
froala,design-blocks,13300,https://github.com/froala/design-blocks
material-components,material-components-android,13300,https://github.com/material-components/material-components-android
CosmicMind,Material,11900,https://github.com/CosmicMind/Material
MaterialDesignInXAML,MaterialDesignInXamlToolkit,11800,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
mikepenz,MaterialDrawer,11500,https://github.com/mikepenz/MaterialDrawer
wenzhixin,bootstrap-table,11100,https://github.com/wenzhixin/bootstrap-table
equinusocio,material-theme,11100,https://github.com/equinusocio/material-theme
Ramotion,animated-tab-bar,10900,https://github.com/Ramotion/animated-tab-bar
creativetimofficial,material-dashboard,10100,https://github.com/creativetimofficial/material-dashboard
Ramotion,folding-cell,10000,https://github.com/Ramotion/folding-cell
AppIntro,AppIntro,10000,https://github.com/AppIntro/AppIntro
Templarian,MaterialDesign,9800,https://github.com/Templarian/MaterialDesign
ksoichiro,Android-ObservableScrollView,9600,https://github.com/ksoichiro/Android-ObservableScrollView
