username,repo_name,stars,repo_url
fogleman,Craft,9000,https://github.com/fogleman/Craft
dnschneid,crouton,8000,https://github.com/dnschneid/crouton
PaperMC,Paper,5500,https://github.com/PaperMC/Paper
MinecraftForge,MinecraftForge,5200,https://github.com/MinecraftForge/MinecraftForge
nuno-faria,tiler,5000,https://github.com/nuno-faria/tiler
cuberite,cuberite,4000,https://github.com/cuberite/cuberite
cabaletta,baritone,4000,https://github.com/cabaletta/baritone
huanghongxun,HMCL,3500,https://github.com/huanghongxun/HMCL
CaffeineMC,sodium-fabric,3200,https://github.com/CaffeineMC/sodium-fabric
MultiMC,Launcher,3000,https://github.com/MultiMC/Launcher
GeyserMC,Geyser,3000,https://github.com/GeyserMC/Geyser
pmmp,PocketMine-MP,2600,https://github.com/pmmp/PocketMine-MP
PrismarineJS,mineflayer,2500,https://github.com/PrismarineJS/mineflayer
EngineHub,WorldEdit,2300,https://github.com/EngineHub/WorldEdit
PojavLauncherTeam,PojavLauncher,2200,https://github.com/PojavLauncherTeam/PojavLauncher
toolbox4minecraft,amidst,1900,https://github.com/toolbox4minecraft/amidst
icexin,gocraft,1700,https://github.com/icexin/gocraft
microsoft,pxt,1700,https://github.com/microsoft/pxt
PistonDevelopers,hematite,1600,https://github.com/PistonDevelopers/hematite
GlowstoneMC,Glowstone,1600,https://github.com/GlowstoneMC/Glowstone
feather-rs,feather,1500,https://github.com/feather-rs/feather
Querz,mcaselector,1500,https://github.com/Querz/mcaselector
LuckPerms,LuckPerms,1400,https://github.com/LuckPerms/LuckPerms
CaffeineMC,lithium-fabric,1300,https://github.com/CaffeineMC/lithium-fabric
MCSManager,MCSManager,1300,https://github.com/MCSManager/MCSManager
EssentialsX,Essentials,1300,https://github.com/EssentialsX/Essentials
BuildCraft,BuildCraft,1300,https://github.com/BuildCraft/BuildCraft
MightyPirates,OpenComputers,1200,https://github.com/MightyPirates/OpenComputers
SpongePowered,SpongeForge,1100,https://github.com/SpongePowered/SpongeForge
SpongePowered,SpongeAPI,1100,https://github.com/SpongePowered/SpongeAPI
