username,repo_name,stars,repo_url
flutter,flutter,135000,https://github.com/flutter/flutter
ionic-team,ionic-framework,46300,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,39200,https://github.com/Solido/awesome-flutter
fastlane,fastlane,34000,https://github.com/fastlane/fastlane
jondot,awesome-react-native,31000,https://github.com/jondot/awesome-react-native
nolimits4web,swiper,29900,https://github.com/nolimits4web/swiper
youzan,vant,19100,https://github.com/youzan/vant
alibaba,weex,17800,https://github.com/alibaba/weex
framework7io,framework7,16600,https://github.com/framework7io/framework7
ElemeFE,mint-ui,16500,https://github.com/ElemeFE/mint-ui
matomo-org,matomo,15900,https://github.com/matomo-org/matomo
expo,expo,15800,https://github.com/expo/expo
realm,realm-swift,14900,https://github.com/realm/realm-swift
Tencent,vConsole,14200,https://github.com/Tencent/vConsole
liriliri,eruda,11700,https://github.com/liriliri/eruda
aurelia,framework,11700,https://github.com/aurelia/framework
realm,realm-java,11200,https://github.com/realm/realm-java
taye,interact.js,10600,https://github.com/taye/interact.js
ant-design,ant-design-mobile,9600,https://github.com/ant-design/ant-design-mobile
Tencent,wcdb,9300,https://github.com/Tencent/wcdb
AlloyTeam,Mars,9300,https://github.com/AlloyTeam/Mars
vuestorefront,vue-storefront,9200,https://github.com/vuestorefront/vue-storefront
didi,chameleon,8600,https://github.com/didi/chameleon
antvis,F2,7600,https://github.com/antvis/F2
alibaba,rax,7600,https://github.com/alibaba/rax
uber,RIBs,6700,https://github.com/uber/RIBs
mvt-project,mvt,6700,https://github.com/mvt-project/mvt
Tencent,Hippy,6300,https://github.com/Tencent/Hippy
jonataslaw,getx,5900,https://github.com/jonataslaw/getx
PaddlePaddle,Paddle-Lite,5900,https://github.com/PaddlePaddle/Paddle-Lite
