username,repo_name,stars,repo_url
monero-project,monero,6600,https://github.com/monero-project/monero
xmrig,xmrig,6600,https://github.com/xmrig/xmrig
cazala,coin-hive,1900,https://github.com/cazala/coin-hive
yjjnls,awesome-blockchain,1800,https://github.com/yjjnls/awesome-blockchain
johnrosen1,vpstoolbox,1300,https://github.com/johnrosen1/vpstoolbox
MultiPoolMiner,MultiPoolMiner,816,https://github.com/MultiPoolMiner/MultiPoolMiner
Cyclenerd,ethereum_nvidia_miner,816,https://github.com/Cyclenerd/ethereum_nvidia_miner
xmrig,xmrig-nvidia,619,https://github.com/xmrig/xmrig-nvidia
lucasjones,cpuminer-multi,571,https://github.com/lucasjones/cpuminer-multi
oliverw,miningcore,526,https://github.com/oliverw/miningcore
deepwn,deepMiner,521,https://github.com/deepwn/deepMiner
nanopool,nanominer,478,https://github.com/nanopool/nanominer
bradoyler,xmr-miner,476,https://github.com/bradoyler/xmr-miner
sammy007,monero-stratum,457,https://github.com/sammy007/monero-stratum
xmrig,xmrig-proxy,451,https://github.com/xmrig/xmrig-proxy
AleoHQ,wagyu,450,https://github.com/AleoHQ/wagyu
haveno-dex,haveno,428,https://github.com/haveno-dex/haveno
UnamSanctam,SilentXMRMiner,408,https://github.com/UnamSanctam/SilentXMRMiner
cazala,coin-hive-stratum,404,https://github.com/cazala/coin-hive-stratum
xmrig,xmrig-amd,366,https://github.com/xmrig/xmrig-amd
SChernykh,p2pool,304,https://github.com/SChernykh/p2pool
jtgrassie,monero-pool,258,https://github.com/jtgrassie/monero-pool
x25,coinhive-stratum-mining-proxy,250,https://github.com/x25/coinhive-stratum-mining-proxy
moneroexamples,onion-monero-blockchain-explorer,243,https://github.com/moneroexamples/onion-monero-blockchain-explorer
monerobook,monerobook,241,https://github.com/monerobook/monerobook
ognus,wallet-address-validator,234,https://github.com/ognus/wallet-address-validator
nemosminer,NemosMiner,227,https://github.com/nemosminer/NemosMiner
notgiven688,webminerpool,221,https://github.com/notgiven688/webminerpool
CoinSpace,CoinSpace,210,https://github.com/CoinSpace/CoinSpace
UnamSanctam,SilentCryptoMiner,182,https://github.com/UnamSanctam/SilentCryptoMiner
