username,repo_name,stars,repo_url
macrozheng,mall,55700,https://github.com/macrozheng/mall
meteor,meteor,42800,https://github.com/meteor/meteor
ityouknow,spring-boot-examples,27000,https://github.com/ityouknow/spring-boot-examples
mongodb,mongo,21100,https://github.com/mongodb/mongo
prisma,prisma,20200,https://github.com/prisma/prisma
parse-community,parse-server,19200,https://github.com/parse-community/parse-server
nswbmw,N-blog,15100,https://github.com/nswbmw/N-blog
NodeBB,NodeBB,12400,https://github.com/NodeBB/NodeBB
linnovate,mean,12100,https://github.com/linnovate/mean
reactioncommerce,reaction,11600,https://github.com/reactioncommerce/reaction
bailicangdu,node-elm,11300,https://github.com/bailicangdu/node-elm
macrozheng,mall-learning,10400,https://github.com/macrozheng/mall-learning
HabitRPG,habitica,8800,https://github.com/HabitRPG/habitica
macrozheng,mall-swarm,8000,https://github.com/macrozheng/mall-swarm
golang-migrate,migrate,8000,https://github.com/golang-migrate/migrate
pyeve,eve,6400,https://github.com/pyeve/eve
digoal,blog,6400,https://github.com/digoal/blog
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
RichardKnop,machinery,5900,https://github.com/RichardKnop/machinery
jenssegers,laravel-mongodb,5900,https://github.com/jenssegers/laravel-mongodb
samuelclay,NewsBlur,5900,https://github.com/samuelclay/NewsBlur
donnemartin,dev-setup,5600,https://github.com/donnemartin/dev-setup
madhums,node-express-mongoose-demo,5000,https://github.com/madhums/node-express-mongoose-demo
yinxin630,fiora,5000,https://github.com/yinxin630/fiora
backup,backup,4700,https://github.com/backup/backup
FAQGURU,FAQGURU,4700,https://github.com/FAQGURU/FAQGURU
SoftwareBrothers,adminjs,4600,https://github.com/SoftwareBrothers/adminjs
santiq,bulletproof-nodejs,4400,https://github.com/santiq/bulletproof-nodejs
mongo-express,mongo-express,4400,https://github.com/mongo-express/mongo-express
FerretDB,FerretDB,4100,https://github.com/FerretDB/FerretDB
