username,repo_name,stars,repo_url
bailicangdu,node-elm,11300,https://github.com/bailicangdu/node-elm
madhums,node-express-mongoose-demo,5000,https://github.com/madhums/node-express-mongoose-demo
santiq,bulletproof-nodejs,4400,https://github.com/santiq/bulletproof-nodejs
hagopj13,node-express-boilerplate,3600,https://github.com/hagopj13/node-express-boilerplate
async-labs,builderbook,3100,https://github.com/async-labs/builderbook
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
async-labs,saas,2800,https://github.com/async-labs/saas
developit,express-es6-rest-api,2400,https://github.com/developit/express-es6-rest-api
emadehsan,thal,2300,https://github.com/emadehsan/thal
ladjs,lad,2100,https://github.com/ladjs/lad
konstantinmuenster,notion-clone,2100,https://github.com/konstantinmuenster/notion-clone
Nealyang,React-Express-Blog-Demo,1900,https://github.com/Nealyang/React-Express-Blog-Demo
danielfsousa,express-rest-boilerplate,1800,https://github.com/danielfsousa/express-rest-boilerplate
nodkz,mongodb-memory-server,1700,https://github.com/nodkz/mongodb-memory-server
afteracademy,nodejs-backend-architecture-typescript,1700,https://github.com/afteracademy/nodejs-backend-architecture-typescript
diegohaz,rest,1700,https://github.com/diegohaz/rest
typegoose,typegoose,1600,https://github.com/typegoose/typegoose
harryheman,React-Total,1500,https://github.com/harryheman/React-Total
OmarElgabry,chat.io,1400,https://github.com/OmarElgabry/chat.io
DavideViolante,Angular-Full-Stack,1300,https://github.com/DavideViolante/Angular-Full-Stack
basir,node-react-ecommerce,1300,https://github.com/basir/node-react-ecommerce
madhums,node-express-mongoose,1300,https://github.com/madhums/node-express-mongoose
azat-co,cheatsheets,1300,https://github.com/azat-co/cheatsheets
szokodiakos,typegoose,1200,https://github.com/szokodiakos/typegoose
mengsixing,cdfang-spider,1200,https://github.com/mengsixing/cdfang-spider
JKHeadley,rest-hapi,1100,https://github.com/JKHeadley/rest-hapi
ljlm0402,typescript-express-starter,1100,https://github.com/ljlm0402/typescript-express-starter
panshak,arc,1000,https://github.com/panshak/arc
surmon-china,nodepress,1000,https://github.com/surmon-china/nodepress
mongoosastic,mongoosastic,990,https://github.com/mongoosastic/mongoosastic
