username,repo_name,stars,repo_url
netdata,netdata,57500,https://github.com/netdata/netdata
grafana,grafana,46800,https://github.com/grafana/grafana
prometheus,prometheus,40800,https://github.com/prometheus/prometheus
Unitech,pm2,36400,https://github.com/Unitech/pm2
huginn,huginn,34000,https://github.com/huginn/huginn
getsentry,sentry,30000,https://github.com/getsentry/sentry
influxdata,influxdb,22800,https://github.com/influxdata/influxdb
nicolargo,glances,19900,https://github.com/nicolargo/glances
osquery,osquery,18600,https://github.com/osquery/osquery
didi,DoraemonKit,18400,https://github.com/didi/DoraemonKit
taosdata,TDengine,17600,https://github.com/taosdata/TDengine
dianping,cat,16400,https://github.com/dianping/cat
allinurl,goaccess,14200,https://github.com/allinurl/goaccess
louislam,uptime-kuma,12500,https://github.com/louislam/uptime-kuma
bcicen,ctop,12300,https://github.com/bcicen/ctop
pinpoint-apm,pinpoint,12000,https://github.com/pinpoint-apm/pinpoint
influxdata,telegraf,11100,https://github.com/influxdata/telegraf
bettercap,bettercap,10900,https://github.com/bettercap/bettercap
cilium,cilium,10800,https://github.com/cilium/cilium
afaqurk,linux-dash,9800,https://github.com/afaqurk/linux-dash
sqshq,sampler,9200,https://github.com/sqshq/sampler
aksakalli,gtop,8900,https://github.com/aksakalli/gtop
giampaolo,psutil,8100,https://github.com/giampaolo/psutil
dastergon,awesome-sre,7900,https://github.com/dastergon/awesome-sre
questdb,questdb,7900,https://github.com/questdb/questdb
oguzhaninan,Stacer,7500,https://github.com/oguzhaninan/Stacer
upgundecha,howtheysre,7100,https://github.com/upgundecha/howtheysre
gao-sun,eul,7000,https://github.com/gao-sun/eul
fail2ban,fail2ban,6800,https://github.com/fail2ban/fail2ban
open-falcon,falcon-plus,6800,https://github.com/open-falcon/falcon-plus
