username,repo_name,stars,repo_url
MvvmCross,MvvmCross,3600,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,299,https://github.com/MvvmCross/MvvmCross-Samples
Baseflow,Chameleon,145,https://github.com/Baseflow/Chameleon
MvvmCross,NPlus1DaysOfMvvmCross,144,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Plac3hold3r,MvxScaffolding,117,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,88,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,67,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
Baseflow,MvxForms,45,https://github.com/Baseflow/MvxForms
rogerwcpt,xamarin-mvvvm-frameworks,37,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,33,https://github.com/grendio/XBottomSheet
DominicMaas,SoundByteOSS,32,https://github.com/DominicMaas/SoundByteOSS
mgj,MvvmCross-Dreams,30,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,26,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,20,https://github.com/softlion/XamSvg-Samples
zleao,MvvmCross-Extensions,19,https://github.com/zleao/MvvmCross-Extensions
nmilcoff,TagsView,18,https://github.com/nmilcoff/TagsView
AppRopio,AppRopio.Mobile,15,https://github.com/AppRopio/AppRopio.Mobile
jimbobbennett,MvvmCross-VisualStudioAddIn,13,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
TorisanKitsune,MinoriEditorShell,10,https://github.com/TorisanKitsune/MinoriEditorShell
wcoder,MvvmCrossStarterKit,10,https://github.com/wcoder/MvvmCrossStarterKit
Danielbahe,Xamarin.Popups,8,https://github.com/Danielbahe/Xamarin.Popups
MeshackMusundi,StaffStuff-MvvmCross,7,https://github.com/MeshackMusundi/StaffStuff-MvvmCross
heytherewill,MvvmCross.FSharp,7,https://github.com/heytherewill/MvvmCross.FSharp
jsuarezruiz,mvxforms-samples,7,https://github.com/jsuarezruiz/mvxforms-samples
Plac3hold3r,PH.SharedElement,6,https://github.com/Plac3hold3r/PH.SharedElement
daniel-p,XamarinWorkshop-GetReal,4,https://github.com/daniel-p/XamarinWorkshop-GetReal
eiadxp,MvvmCross.Platforms.Wpf.ItemsViewPresenter,4,https://github.com/eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter
rogerwcpt,weissdigital.xamarin.addins.mvxcontentpage,4,https://github.com/rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage
isax5,Hymnal-Xamarin,4,https://github.com/isax5/Hymnal-Xamarin
g0rdan,g0rdan.MvxPlugin.AlertDialog,3,https://github.com/g0rdan/g0rdan.MvxPlugin.AlertDialog
