username,repo_name,stars,repo_url
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,4800,https://github.com/nativescript-vue/nativescript-vue
alibaba,LuaViewSDK,3600,https://github.com/alibaba/LuaViewSDK
NathanWalker,angular-seed-advanced,2300,https://github.com/NathanWalker/angular-seed-advanced
ngx-formly,ngx-formly,2100,https://github.com/ngx-formly/ngx-formly
momotech,MLN,1500,https://github.com/momotech/MLN
NativeScript,nativescript-angular,1200,https://github.com/NativeScript/nativescript-angular
EddyVerbruggen,nativescript-plugin-firebase,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
NativeScript,nativescript-cli,1000,https://github.com/NativeScript/nativescript-cli
NativeScript,docs,446,https://github.com/NativeScript/docs
NativeScript,android-runtime,433,https://github.com/NativeScript/android-runtime
nstudio,xplat,330,https://github.com/nstudio/xplat
tralves,groceries-ns-vue,300,https://github.com/tralves/groceries-ns-vue
ShadowApex,godot-go,299,https://github.com/ShadowApex/godot-go
NativeScript,ios-runtime,290,https://github.com/NativeScript/ios-runtime
nstudio,nativescript-cardview,284,https://github.com/nstudio/nativescript-cardview
EddyVerbruggen,nativescript-barcodescanner,282,https://github.com/EddyVerbruggen/nativescript-barcodescanner
TeamMaestro,angular-native-seed,273,https://github.com/TeamMaestro/angular-native-seed
shirakaba,react-nativescript,259,https://github.com/shirakaba/react-nativescript
anihalaney,rwa-trivia,257,https://github.com/anihalaney/rwa-trivia
dapriett,nativescript-google-maps-sdk,240,https://github.com/dapriett/nativescript-google-maps-sdk
nativescript-community,ui-material-components,198,https://github.com/nativescript-community/ui-material-components
Yermo,nativescript-mapbox,191,https://github.com/Yermo/nativescript-mapbox
NativeScript,nativescript-schematics,183,https://github.com/NativeScript/nativescript-schematics
EddyVerbruggen,nativescript-pluginshowcase,178,https://github.com/EddyVerbruggen/nativescript-pluginshowcase
mean-expert-official,fireloop.io,176,https://github.com/mean-expert-official/fireloop.io
NativeScript,nativescript-app-templates,167,https://github.com/NativeScript/nativescript-app-templates
nativescript-community,ble,162,https://github.com/nativescript-community/ble
nativescript-community,ui-lottie,161,https://github.com/nativescript-community/ui-lottie
EddyVerbruggen,nativescript-local-notifications,160,https://github.com/EddyVerbruggen/nativescript-local-notifications
