username,repo_name,stars,repo_url
huggingface,transformers,57500,https://github.com/huggingface/transformers
apachecn,AiLearning,32600,https://github.com/apachecn/AiLearning
google-research,bert,30300,https://github.com/google-research/bert
hankcs,HanLP,24900,https://github.com/hankcs/HanLP
explosion,spaCy,22300,https://github.com/explosion/spaCy
oxford-cs-deepnlp-2017,lectures,15200,https://github.com/oxford-cs-deepnlp-2017/lectures
RasaHQ,rasa,13500,https://github.com/RasaHQ/rasa
jina-ai,jina,13300,https://github.com/jina-ai/jina
virgili0,Virgilio,13200,https://github.com/virgili0/Virgilio
RaRe-Technologies,gensim,12900,https://github.com/RaRe-Technologies/gensim
keon,awesome-nlp,12800,https://github.com/keon/awesome-nlp
bharathgs,Awesome-pytorch-list,12600,https://github.com/bharathgs/Awesome-pytorch-list
huggingface,datasets,12000,https://github.com/huggingface/datasets
flairNLP,flair,11200,https://github.com/flairNLP/flair
NLP-LOVE,ML-NLP,11100,https://github.com/NLP-LOVE/ML-NLP
allenai,allennlp,10800,https://github.com/allenai/allennlp
nltk,nltk,10400,https://github.com/nltk/nltk
spencermountain,compromise,10100,https://github.com/spencermountain/compromise
chiphuyen,stanford-tensorflow-tutorials,10100,https://github.com/chiphuyen/stanford-tensorflow-tutorials
graykode,nlp-tutorial,10100,https://github.com/graykode/nlp-tutorial
hanxiao,bert-as-service,9900,https://github.com/hanxiao/bert-as-service
botpress,botpress,9600,https://github.com/botpress/botpress
stanfordnlp,CoreNLP,8300,https://github.com/stanfordnlp/CoreNLP
sloria,TextBlob,8000,https://github.com/sloria/TextBlob
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,7700,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
PaddlePaddle,PaddleHub,7500,https://github.com/PaddlePaddle/PaddleHub
brightmart,text_classification,7200,https://github.com/brightmart/text_classification
brightmart,nlp_chinese_corpus,6800,https://github.com/brightmart/nlp_chinese_corpus
crownpku,Awesome-Chinese-NLP,6700,https://github.com/crownpku/Awesome-Chinese-NLP
ymcui,Chinese-BERT-wwm,6500,https://github.com/ymcui/Chinese-BERT-wwm
