username,repo_name,stars,repo_url
nim-lang,Nim,12400,https://github.com/nim-lang/Nim
zedeus,nitter,3900,https://github.com/zedeus/nitter
Dav1dde,glad,2300,https://github.com/Dav1dde/glad
nim-lang,nimble,940,https://github.com/nim-lang/nimble
mratsim,Arraymancer,907,https://github.com/mratsim/Arraymancer
planety,prologue,857,https://github.com/planety/prologue
yglukhov,nimx,838,https://github.com/yglukhov/nimx
nim-lang,nimforum,665,https://github.com/nim-lang/nimforum
VPashkov,awesome-nim,607,https://github.com/VPashkov/awesome-nim
Pebaz,nimporter,587,https://github.com/Pebaz/nimporter
trustable-code,NiGui,515,https://github.com/trustable-code/NiGui
inim-repl,INim,484,https://github.com/inim-repl/INim
frol,completely-unscientific-benchmarks,478,https://github.com/frol/completely-unscientific-benchmarks
brentp,mosdepth,453,https://github.com/brentp/mosdepth
dom96,choosenim,450,https://github.com/dom96/choosenim
arnetheduck,nlvm,449,https://github.com/arnetheduck/nlvm
status-im,nimbus-eth1,435,https://github.com/status-im/nimbus-eth1
ftsf,nico,384,https://github.com/ftsf/nico
pragmagic,godot-nim,382,https://github.com/pragmagic/godot-nim
aduros,wasm4,381,https://github.com/aduros/wasm4
sinkingsugar,nimtorch,372,https://github.com/sinkingsugar/nimtorch
calebwin,pipelines,368,https://github.com/calebwin/pipelines
fox0430,moe,346,https://github.com/fox0430/moe
nim-lang,packages,314,https://github.com/nim-lang/packages
bluenote10,NimData,296,https://github.com/bluenote10/NimData
nimterop,nimterop,293,https://github.com/nimterop/nimterop
aeverj,NimShellCodeLoader,278,https://github.com/aeverj/NimShellCodeLoader
nimgl,nimgl,278,https://github.com/nimgl/nimgl
xflywind,awesome-nim,267,https://github.com/xflywind/awesome-nim
status-im,nimbus-eth2,262,https://github.com/status-im/nimbus-eth2
