username,repo_name,stars,repo_url
sequelize,sequelize,25600,https://github.com/sequelize/sequelize
mongodb,mongo,21100,https://github.com/mongodb/mongo
pubkey,rxdb,16900,https://github.com/pubkey/rxdb
CodisLabs,codis,12300,https://github.com/CodisLabs/codis
arangodb,arangodb,12000,https://github.com/arangodb/arangodb
neo4j,neo4j,9700,https://github.com/neo4j/neo4j
appbaseio,dejavu,7600,https://github.com/appbaseio/dejavu
scylladb,scylla,7500,https://github.com/scylladb/scylla
mbdavid,LiteDB,6200,https://github.com/mbdavid/LiteDB
apache,zeppelin,5600,https://github.com/apache/zeppelin
linkedin,school-of-sre,5400,https://github.com/linkedin/school-of-sre
madd86,awesome-system-design,5100,https://github.com/madd86/awesome-system-design
msiemens,tinydb,4800,https://github.com/msiemens/tinydb
OpenAtomFoundation,pika,4500,https://github.com/OpenAtomFoundation/pika
orientechnologies,orientdb,4400,https://github.com/orientechnologies/orientdb
apache,lucene-solr,4200,https://github.com/apache/lucene-solr
dzharii,awesome-elasticsearch,4200,https://github.com/dzharii/awesome-elasticsearch
objectbox,objectbox-java,4000,https://github.com/objectbox/objectbox-java
Netflix,dynomite,3800,https://github.com/Netflix/dynomite
nosqlclient,nosqlclient,3400,https://github.com/nosqlclient/nosqlclient
ravendb,ravendb,2900,https://github.com/ravendb/ravendb
upper,db,2900,https://github.com/upper/db
hivedb,hive,2800,https://github.com/hivedb/hive
cube2222,octosql,2700,https://github.com/cube2222/octosql
HouzuoGuo,tiedot,2700,https://github.com/HouzuoGuo/tiedot
IoT-Technology,IoT-Technical-Guide,2400,https://github.com/IoT-Technology/IoT-Technical-Guide
Tencent,Tendis,2300,https://github.com/Tencent/Tendis
pilgr,Paper,2300,https://github.com/pilgr/Paper
gocql,gocql,2200,https://github.com/gocql/gocql
rom-rb,rom,2000,https://github.com/rom-rb/rom
