username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,340000,https://github.com/freeCodeCamp/freeCodeCamp
electron,electron,100000,https://github.com/electron/electron
30-seconds,30-seconds-of-code,91600,https://github.com/30-seconds/30-seconds-of-code
axios,axios,90800,https://github.com/axios/axios
nodejs,node,84700,https://github.com/nodejs/node
goldbergyoni,nodebestpractices,74200,https://github.com/goldbergyoni/nodebestpractices
expressjs,express,55800,https://github.com/expressjs/express
nvm-sh,nvm,55000,https://github.com/nvm-sh/nvm
leonardomso,33-js-concepts,46300,https://github.com/leonardomso/33-js-concepts
nestjs,nest,44100,https://github.com/nestjs/nest
sindresorhus,awesome-nodejs,43600,https://github.com/sindresorhus/awesome-nodejs
meteor,meteor,42800,https://github.com/meteor/meteor
strapi,strapi,42800,https://github.com/strapi/strapi
TryGhost,Ghost,39500,https://github.com/TryGhost/Ghost
nwjs,nw.js,38700,https://github.com/nwjs/nw.js
FreeCodeCampChina,freecodecamp.cn,36500,https://github.com/FreeCodeCampChina/freecodecamp.cn
Unitech,pm2,36400,https://github.com/Unitech/pm2
GitSquared,edex-ui,34900,https://github.com/GitSquared/edex-ui
hexojs,hexo,34100,https://github.com/hexojs/hexo
sahat,hackathon-starter,32500,https://github.com/sahat/hackathon-starter
nativefier,nativefier,29700,https://github.com/nativefier/nativefier
SheetJS,sheetjs,28900,https://github.com/SheetJS/sheetjs
date-fns,date-fns,27900,https://github.com/date-fns/date-fns
laurent22,joplin,27900,https://github.com/laurent22/joplin
google,zx,27300,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,26600,https://github.com/LeCoupa/awesome-cheatsheets
standard,standard,26600,https://github.com/standard/standard
webtorrent,webtorrent,25800,https://github.com/webtorrent/webtorrent
Binaryify,NeteaseCloudMusicApi,22700,https://github.com/Binaryify/NeteaseCloudMusicApi
fastify,fastify,21900,https://github.com/fastify/fastify
