username,repo_name,stars,repo_url
vsouza,awesome-ios,38900,https://github.com/vsouza/awesome-ios
serhii-londar,open-source-mac-os-apps,29300,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29200,https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24000,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,20800,https://github.com/NativeScript/NativeScript
hackiftekhar,IQKeyboardManager,15500,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,14900,https://github.com/realm/realm-swift
CoderMJLee,MJRefresh,13600,https://github.com/CoderMJLee/MJRefresh
CocoaPods,CocoaPods,13600,https://github.com/CocoaPods/CocoaPods
OpenEmu,OpenEmu,13500,https://github.com/OpenEmu/OpenEmu
facebook,infer,12900,https://github.com/facebook/infer
CocoaLumberjack,CocoaLumberjack,12600,https://github.com/CocoaLumberjack/CocoaLumberjack
SVProgressHUD,SVProgressHUD,12300,https://github.com/SVProgressHUD/SVProgressHUD
Instagram,IGListKit,12200,https://github.com/Instagram/IGListKit
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
Tim9Liu9,TimLiu-iOS,10900,https://github.com/Tim9Liu9/TimLiu-iOS
kyleneideck,BackgroundMusic,10900,https://github.com/kyleneideck/BackgroundMusic
halfrost,Halfrost-Field,10600,https://github.com/halfrost/Halfrost-Field
futurice,ios-good-practices,10400,https://github.com/futurice/ios-good-practices
WenchaoD,FSCalendar,9900,https://github.com/WenchaoD/FSCalendar
Quick,Quick,9300,https://github.com/Quick/Quick
MacDownApp,macdown,8900,https://github.com/MacDownApp/macdown
Hammerspoon,hammerspoon,8700,https://github.com/Hammerspoon/hammerspoon
sequelpro,sequelpro,8600,https://github.com/sequelpro/sequelpro
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
steipete,Aspects,8300,https://github.com/steipete/Aspects
draveness,analyze,7900,https://github.com/draveness/analyze
quicktype,quicktype,7600,https://github.com/quicktype/quicktype
assimp,assimp,7500,https://github.com/assimp/assimp
olucurious,Awesome-ARKit,7200,https://github.com/olucurious/Awesome-ARKit
