username,repo_name,stars,repo_url
alacritty,alacritty,37200,https://github.com/alacritty/alacritty
google,filament,13500,https://github.com/google/filament
kovidgoyal,kitty,13500,https://github.com/kovidgoyal/kitty
ssloy,tinyrenderer,12000,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,12000,https://github.com/lettier/3d-game-shaders-for-beginners
bkaradzic,bgfx,10900,https://github.com/bkaradzic/bgfx
SFTtech,openage,10800,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,10200,https://github.com/OpenRCT2/OpenRCT2
fogleman,Craft,9000,https://github.com/fogleman/Craft
openframeworks,openFrameworks,8700,https://github.com/openframeworks/openFrameworks
glfw,glfw,8600,https://github.com/glfw/glfw
raysan5,raylib,8500,https://github.com/raysan5/raylib
cats-oss,android-gpuimage,8300,https://github.com/cats-oss/android-gpuimage
SFML,SFML,7400,https://github.com/SFML/SFML
isl-org,Open3D,6100,https://github.com/isl-org/Open3D
baldurk,renderdoc,6100,https://github.com/baldurk/renderdoc
g-truc,glm,5900,https://github.com/g-truc/glm
olive-editor,olive,5800,https://github.com/olive-editor/olive
gfx-rs,gfx,5100,https://github.com/gfx-rs/gfx
fschutt,azul,5000,https://github.com/fschutt/azul
gephi,gephi,4600,https://github.com/gephi/gephi
openscad,openscad,4500,https://github.com/openscad/openscad
natario1,CameraView,4200,https://github.com/natario1/CameraView
mapbox,mapbox-gl-native,4100,https://github.com/mapbox/mapbox-gl-native
mosra,magnum,3800,https://github.com/mosra/magnum
Yalantis,StarWars.iOS,3700,https://github.com/Yalantis/StarWars.iOS
ultralight-ux,Ultralight,3700,https://github.com/ultralight-ux/Ultralight
LWJGL,lwjgl3,3600,https://github.com/LWJGL/lwjgl3
dfranx,SHADERed,3300,https://github.com/dfranx/SHADERed
RandyGaul,cute_headers,3300,https://github.com/RandyGaul/cute_headers
