username,repo_name,stars,repo_url
huihut,interview,22100,https://github.com/huihut/interview
Awesome-HarmonyOS,HarmonyOS,18400,https://github.com/Awesome-HarmonyOS/HarmonyOS
SerenityOS,serenity,17300,https://github.com/SerenityOS/serenity
redox-os,redox,13700,https://github.com/redox-os/redox
s-matyukevich,raspberry-pi-os,11100,https://github.com/s-matyukevich/raspberry-pi-os
reactos,reactos,10500,https://github.com/reactos/reactos
tuhdo,os01,9800,https://github.com/tuhdo/os01
phil-opp,blog_os,8300,https://github.com/phil-opp/blog_os
rust-embedded,rust-raspberrypi-OS-tutorials,7600,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
gurugio,lowlevelprogramming-university,7300,https://github.com/gurugio/lowlevelprogramming-university
wolverinn,Waking-Up,6700,https://github.com/wolverinn/Waking-Up
NodeOS,NodeOS,6600,https://github.com/NodeOS/NodeOS
bottlerocket-os,bottlerocket,6100,https://github.com/bottlerocket-os/bottlerocket
klange,toaruos,4700,https://github.com/klange/toaruos
includeos,IncludeOS,4500,https://github.com/includeos/IncludeOS
yourtion,30dayMakeOS,4200,https://github.com/yourtion/30dayMakeOS
tock,tock,3400,https://github.com/tock/tock
oshi,oshi,3000,https://github.com/oshi/oshi
nebulet,nebulet,2200,https://github.com/nebulet/nebulet
amilajack,reading,2000,https://github.com/amilajack/reading
mszoek,airyx,2000,https://github.com/mszoek/airyx
armbian,build,1900,https://github.com/armbian/build
theseus-os,Theseus,1700,https://github.com/theseus-os/Theseus
dyweb,papers-notebook,1700,https://github.com/dyweb/papers-notebook
the-akira,Computer-Science-Resources,1600,https://github.com/the-akira/Computer-Science-Resources
PureDarwin,PureDarwin,1600,https://github.com/PureDarwin/PureDarwin
joshiemoore,snakeware,1500,https://github.com/joshiemoore/snakeware
skiftOS,skift,1500,https://github.com/skiftOS/skift
PansonPanson,Java-Notes,1400,https://github.com/PansonPanson/Java-Notes
FydeOS,chromium_os-raspberry_pi,1400,https://github.com/FydeOS/chromium_os-raspberry_pi
